Brand_Code;Descript;New_Code
10TH_KNGDM;10Â  ÓÓÎÂ‚ÒÚ‚Ó;B00001
1TOY;1toy;B00002
4D PAZZLES;4D PAZZLE;B00003
5TH SEASON;5th Season;B00004
A.V. JEWELRY OF NY;A.V. JEWELRY OF NY;B00005
A_SOLAR;A_Solar;B00006
ABERLOUR;Aberlour;B00007
ABSOLUT;Absolut;B00008
ADIDAS;ADIDAS;B00009
AFISHA;Afisha;B00010
AFTER_8;After Eight;B00011
AIR HOGS;Air Hogs;B00012
AKG;AKG;B00013
ALCOM ACTIVE;Alcom Active;B00014
ALEXANDRE.J;«‡‰‚ÓÂÌÌ˚È ·ÂÌ‰;
ALVIERO MARTINI;Alviero Martini;B00015
AMARULA;Amarula;B00016
AMBER;Amber;B00017
AMBREA;Ambrea;B00018
AMICELLI;Amicelli;B00019
AMINOFF;Aminoff;B00020
AMKA;Amka;B00021
AMOUAGE;Amouage;B00022
ANGUILLA;Anguilla Rums Ltd;B00023
ANNE KLEIN;Anne Klein;B00024
ANNICK GOUTAL;Annick Goutal;B00025
ANTICA SAMBUCA;Antica Sambuca;B00026
APEROL;Aperol;B00027
AQUA;Aqua;B00028
ARAMIS;ARAMIS;B00029
ARARAT;Ararat;B00030
ARDBERG;Ardberg;B00031
ARMANI;Armani;B00032
ARMANI_EMP;ARMANI_EMPORIO;B00033
ARMANI_GIO;ARMANI_GIORGIO;B00034
ART LAIN;Art Lain;B00035
ART_FUENTE;Arture Fuente;B00036
ARTSHAVING;ARTSHAVING;B00037
AS;AS;B00038
ASTI_MART;Asti Martini;B00039
AURORA;Aurora;B00040
AVO;AVO;B00041
AZZARO;AZZARO;B00042
B_KLUCH;Belyi Kluch;B00043
B00064;Bebelino;B00064
B00626;RODIAL;B00626
B00678;Sima-land;B00678
B00740;TRANSVITAL;B00740
B00821;ABBYY;B00821
B00822;ABLE STAR;B00822
B00823;ACTIVE CRYSTALS;B00823
B00824;ADVOCAAT;B00824
B00825;AEON;B00825
B00826;AGATA;B00826
B00827;AGATHA;B00827
B00828;ALEXANDER GRAPPOLO;B00828
B00829;ALEXANDER MCQUEEN;B00829
B00830;AMBASSADORS CHOICE;B00830
B00831;AMPHORA;B00831
B00832;ANGOVE'S LONG ROW;B00832
B00833;ANNA CLUB PLUSH;B00833
B00834;ANTHON BERG;B00834
B00835;ANTICA MURRINA;B00835
B00836;ANTWERP DESIGN;B00836
B00837;ARDBEG;B00837
B00838;ARTISAN;B00838
B00839;ARTURO FUENTE;B00839
B00840;AULDEY;B00840
B00841;AUSINI;B00841
B00842;AUTOTIME;B00842
B00843;AVALANCHE;B00843
B00844;AVIATOR;B00844
B00845;BAILEYS TRUFFLES;B00845
B00846;BAILLAURY;B00846
B00847;BALDESSARINI;B00847
B00848;BALLANTINES;B00848
B00849;BANG&OLUFSEN;B00849
B00850;BAUME&MERCIER;B00850
B00851;BEAMISH;B00851
B00852;BEEFEATER;B00852
B00853;BELLA SARA;B00853
B00854;BEN 10;B00854
B00855;BENSON&HEDGES;B00855
B00856;BEVERLY HILLS;B00856
B00857;BISQUIT;B00857
B00858;BOBBI BROWN;B00858
B00859;BOIS DU RICHE;B00859
B00860;BOLGHERI;B00860
B00861;BOLIVAR;B00861
B00862;BOLLINGER;B00862
B00863;BOMBARDIER;B00863
