Document No_;Item No_;Location code;Last Date Modify;Description;Sell Price
1;500010;B002;2008-09-02 00:00:00.000;Banana Milk;100.00000000000000000000
2;500011;B002;2008-09-22 00:00:00.000;Молоч.коктейль ваниль;150.00000000000000000000
3;500012;B002;2008-09-22 00:00:00.000;Молоч. коктейль шоколад;150.00000000000000000000
4;500013;B002;2008-09-22 00:00:00.000;Клубничный коктель;150.00000000000000000000
5;500014;B002;2008-09-22 00:00:00.000;Фисташковый молочный;150.00000000000000000000
6;500030;B002;2008-09-22 00:00:00.000;Fresh Orange Juice;200.00000000000000000000
7;500031;B002;2008-09-22 00:00:00.000;Fresh Apple Juice;200.00000000000000000000
8;500032;B002;2008-10-03 00:00:00.000;Fresh Pineapple Juice;200.00000000000000000000
9;500033;B002;2008-11-05 00:00:00.000;Fresh Grape-fruit Juice;200.00000000000000000000
10;500034;B002;2008-06-19 00:00:00.000;Fresh Pear Juice;200.00000000000000000000
11;500036;B002;2008-09-02 00:00:00.000;Fresh Carrot Juice;200.00000000000000000000
12;500059;B002;2008-11-05 00:00:00.000;Чай Ассам Меленг пакет.;50.00000000000000000000
13;500060;B002;2008-10-03 00:00:00.000;Чай Ройл Эрл Грей пакет.;50.00000000000000000000
14;500061;B002;2008-11-05 00:00:00.000;Чай китайский Жу Ча пакет.;50.00000000000000000000
15;500062;B002;2008-12-01 00:00:00.000;Чай Жасмин Тинг Юань пакет.;50.00000000000000000000
16;500064;B002;2008-12-01 00:00:00.000;Нап. Уайлд Бэрриз пакет.;50.00000000000000000000
17;500069;B002;2009-01-12 00:00:00.000;двойной эспрессо;150.00000000000000000000
18;500078;B002;2008-09-22 00:00:00.000;Каппучино;150.00000000000000000000
19;500079;B002;2008-09-22 00:00:00.000;Латте;180.00000000000000000000
20;500080;B002;2008-11-05 00:00:00.000;Эспрессо;100.00000000000000000000
21;500234;B002;2008-08-04 00:00:00.000;Набор Kent Silver;120.00000000000000000000
22;500236;B002;2008-06-19 00:00:00.000;Набор Vogue Menthe;120.00000000000000000000
23;500242;B002;2008-06-19 00:00:00.000;Набор Marlboro lights;120.00000000000000000000
24;500244;B002;2008-06-19 00:00:00.000;Набор  Parliament lights;120.00000000000000000000
25;500256;B002;2008-08-04 00:00:00.000;Набор Kent Nanotek Neo;120.00000000000000000000
26;500035;B002;2008-10-03 00:00:00.000;Fresh Mandarin Juice;200.00000000000000000000
27;500243;B002;2008-06-19 00:00:00.000;Набор Parliament;120.00000000000000000000
28;500070;B002;2008-09-22 00:00:00.000;Бейлиз кофе;180.00000000000000000000
29;500073;B002;2008-09-02 00:00:00.000;Французский кофе;200.00000000000000000000
