Type Code;No_;SEZ_No_;Expert_No_;Expert Date;Issue Date;End Date;Paper_No_;Cert_ Warning Code;Paper_Index;Blocked;Print Priority;Tree Group No_;KeyString;TreeLevel;Cert_Description_RUS;Cert_Description_ENU
;RU.50.99.05.001.E.000246.11.13;;;1753-01-01 00:00:00.000;2013-11-26 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;L'OREAL
;RU.50.99.05.001.е.000033.01.14;;;1753-01-01 00:00:00.000;2014-01-28 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;LANCOME
;RU.50.99.05.001.е.000040.02.14;;;1753-01-01 00:00:00.000;2014-02-12 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;LANCOME
;RU.62.пж.03.001.е.000600.12.13;;;1753-01-01 00:00:00.000;2013-12-26 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;SHISEIDO
;RU.62.пж.03.001.е.000601.12.13;;;1753-01-01 00:00:00.000;2013-12-26 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;SHISEIDO
;RU.77.99.37.001.E.007228.02.13;;;1753-01-01 00:00:00.000;2013-09-06 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;L'OREAL
;RU.77.99.37.001.е.009259.11.13;;;1753-01-01 00:00:00.000;2013-11-25 00:00:00.000;1753-01-01 00:00:00.000;;;;0;0;0304;AADAAD;2;оюптчлепмн-йнялерхвеяйхе япедярбю;SHISEIDO
CQ;пняя AU.юч85.б30103;;;1753-01-01 00:00:00.000;2009-02-11 00:00:00.000;2010-02-11 00:00:00.000;;;;0;0;1102;AAKAAB;0;онясдю хг ярейкю х упсярюкъ;SWAROVSKI
CQ;пняя BE.ой05.б33602;;;1753-01-01 00:00:00.000;2009-05-20 00:00:00.000;2011-05-20 00:00:00.000;;;;0;0;0302;AADAAB;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESTEE LAUDER
CQ;пняя BE.ой05.б33605;;;1753-01-01 00:00:00.000;2009-05-20 00:00:00.000;2011-05-20 00:00:00.000;;;;0;0;0302;AADAAB;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESTEE LAUDER
CQ;пняя BE.ой05.б33606;;;1753-01-01 00:00:00.000;2009-05-20 00:00:00.000;2011-05-20 00:00:00.000;;;;0;0;0302;AADAAB;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESTEE LAUDER
CQ;пняя BE.ой05.б33607;;;1753-01-01 00:00:00.000;2009-05-20 00:00:00.000;2011-05-20 00:00:00.000;;;;0;0;0302;AADAAB;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESTEE LAUDER
CQ;пняя BE.ой05.б33608;;;1753-01-01 00:00:00.000;2009-05-20 00:00:00.000;2011-05-20 00:00:00.000;;;;0;0;0302;AADAAB;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESTEE LAUDER
CQ;пняя BE.ой05.б33609;;;1753-01-01 00:00:00.000;2009-05-20 00:00:00.000;2011-05-20 00:00:00.000;;;;0;0;0302;AADAAB;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESTEE LAUDER
