Code;Descript;Address;Country_of_Origin;Comment;VAT_Registration_No_
REF-0001;тХПЛЮ 'Morrison Bowmore Distillers Ltd';Glasgow, Scotland, бЕКХЙНАПХРЮМХЪ;GB;;
REF-0002;'ALTIA PLC';PL 350, 00101, HELSINKI, ттхмкъмдхъ;FN;;
REF-0003;'PARFUMS CHRISTIAN DIOR S.A.';33 AVENUE HOCHE 75008, PARIS, тпюмжхъ;FR;;
REF-0004;'HERMES PARFUMS';4, RUE DU PONT VERT B.P. 25-27109 LE VAUDREUIL CEDEX, тпюмжхъ;FR;;
REF-0005;British American Tobacco Int Ltd;Zaehlerweg 4, CH-6301 Zug;CH;;
REF-0006;BRITISH AMERICAN TOBACCO SWITZERLAND S.A.;ROUTE DE FRANCE 17,2926 BONCOURT;CH;;
REF-0007;ннн 'оерпн';пняяхъ, 198206, ц. яюмйр-оерепаспц,оерепцнтяйне ьняяе, 71;RU;;
REF-0008;BRITISH AMERICAN TOBACCO POLSKA S.A.;UL.TYTONIOWA 16,16-300 AUGUSTOW, онкэью;PL;;
REF-0009;BRITISH AMERICAN TOBACCO SINGAPORE PTE LTD;15 SENOKO LOOP, SINGAPORE 758168, яхмцюосп;SG;;
REF-0010;JTI TUTUN URUNLERI SANAYI A.S.;IZMIR AYDIN KARAYOLU 35860 TORBALI, IZMIR, рспжхъ;TR;;
REF-0012;JT INTERNATIONAL AG;BASELSTRASSE 65, 6252- DAGMERSELLEN, ьбеижюпхъ;CH;;
REF-0013;UAB PHILIP MORRIS;LIETUVA, VILNIAUS PLENTAS 16, 94104 KLAIPEDA, кхрбю;LT;;
REF-0014;JT INTERNATIONAL GERMANY GMBH;DIEDENHOFENER STRABE 30, 54294 TRIER, тпц;DE;;
REF-0015;IMPERIAL TOBACCO LIMITED;NOTTINGHAM NG 7 5 QQ, бекхйнапхрюмхъ;GB;;
REF-0016;IMPERIAL TOBACCO LIMITED;GOSTKOW STARY 42, 99-220 WARTKOWICE, онкэью;PL;;
REF-0017;REEMTSMA CIGARETTENFABRIKEN GMBH;MAX-BORN-STR.4,22761 HAMBURG,цеплюмхъ;DE;;
REF-0018;BRITISH AMERICAN TOBACCO (GERMANY) GMBH;WEIHERSTRAZE 26, 95448 BAYREUTH, тпц;DE;;
REF-0019;GALLAHER LIMITED;юмцкхъ, йр 13 0QU яюппщи, беиапхдф, апсйкщмдг пнсд, лщлаепя ухкк;GB;;
REF-0020;B.A.T. (U.K. AND EXPORT) LIMITED REPRZENTAT FISCAL DE B.A.T. ROMANIA INVESTMENT SRL;LABORATORULUI 17-19, PLOIESTI, PRAHOVA,пслшмхъ;RO;;
REF-0021;BAT PECSI DOHANYGYAR KFT,;H-7622 PECS, DOHANY U 2-8 , бемцпхъ;HU;;
REF-0022;PHILIP MORRIS POLSKA S.A.;AL. JANA PAWLA II 196, 31-982 KRAKOW, онкэью;PL;;
REF-0023;PHILIP MORRIS PRODUCTS S.A.;QUAI JEANRENAUD 3, 2000 NEUCHATEL, ьбеижюпхъ;CH;;
REF-0024;REEMTSMA CIGARETTENFABRIKEN GMBH, FACTORY LANGENHAGEN;IMHOFFSTR.44, 30853 LANGENHAGEN, тпц, AND FACTORY BERLIN, MECKLENBURGISCHE STRASSE 32, 14197,тпц;DE;;
REF-0025;PHILIP MORRIS GMBH;FALLSTR. 40, 81369 MUNCHEN, тпц;DE;;
REF-0026;JAPAN TOBACCO INC;дф.р.гдюмхе 2-1, рнпюмнлнм 2, лхмюрн-йс, рнйхн,105-8422, ъонмхъ;JP;;
REF-0027; 'KRAFT FOODS WORLD TRAVEL RETAIL LLC';LINDBERGH-ALLEE 1, CH-8152 GLATTPARK, ьбеижюпхъ;CH;;
REF-0028;'KRAFT FOODS SLOVAKIA';RACIANSKA 44 SK-83242 BRATISLAVA, SLOVAKIA, якнбюйхъ;SL;;
REF-0029;'KRAFT FOODS ';BRUSSELSESTEENWEG 450, BE-1500 HALLE, BELGIUM, аекэцхъ;BE;;
REF-0030;'MARS GMBH';INDUSTRIERING 17,D-41751,VIERSEN, цеплюмхъ;DE;;
REF-0031;т.'A.L.SIMPKIN&CO/LIMITED';HUNTER ROAD, SHEFFIELD, S6 4LD, бекхйнапхрюмхъ;GB;;
REF-0032;т.'AUGUST STORCK KG';WALD STRASSE 27, D-13403, BERLIN, цеплюмхъ;DE;;
REF-0033;т.'BISCUITERIE JULES DESTROOPER NV';GRAVESTRAAT 5, 8647 LO, BELGIUM аекэцхъ;BE;;
REF-0034;т.'BORDER BISCUITS LIMITED';UNIT 2, BLOCK 4 CALDWELSIDE INDUSTRIAL ESTATE LANARK STRATHCLYDE ML11 7SR, бекхйнапхрюмхъ;GB;;
REF-0035;т.'CADBURY TREBOR BASSETT';PO BOX 12, BOURNVILLE LANE, BOURNVILLE, BIRMINGHAM, B30 2LU, UK, бекхйнапхрюмхъ;GB;;
REF-0036;т.'CAFE-TASSE S.A.';AV. REINE ASTRID 1440 WAUTHIER-BRAIN, аекэцхъ;BE;;
REF-0037;т.'CHOCOLADEFABRIKEN LINDT&SPRUENGLI ';SCHWEIZ AG, SEESTRASSE 204, CH-8802 KILCHBERG, ьбеижюпхъ;CH;;
REF-0038;т.'CHOCOLATERIE GUYLIAN N.V.';EUROPARK-OOST 1, B-9100 SINT-NIKLAAS аекэцхъ;BE;;
REF-0039;т.'CHURCHILL'S CONFECTIONARY PLC.';CHURCHILL HOUSE, STIRLING WAY, BOREHAM WOOD, HERTFORDSHIRE, WD6 2HP, бекхйнапхрюмхъ;GB;;
REF-0040;т.'CLOETTA FAZER CONFECTIONERY LTD';PO BOX 100, 00101 HELSINKI, тхмкъмдхъ;FN;;
REF-0041;т.'FARMHOUSE BISCUITS LIMITED';BROOK ST., NELSON, LANCASHIRE BB9 9PX, бекхйнапхрюмхъ;GB;;
REF-0042;т.'FERRERO OHG M.B.H.';RHEINSTRASSE 12, 35260 STADTALLENDORF, тпц;DE;;
REF-0043;'FRANKONIA SCHOKOLADENWERKE GMBH';DAIMLERSTRASSE 9, D-97209 VEITSHOCHHEIM, GERMANY,цеплюмхъ;DE;;
REF-0044;т.'FERRERO POLSKA SP.Z.O.O.';UL. SZKOLNA 6, 05-622 BELSK DUZY K/GROJCA, онкэью;PL;;
REF-0045;т.'FERRERO S.P.A.';PIAZZALE PIETRO FERRERO, 1-12051 ALBA (CN), хрюкхъ;IT;;
REF-0046;т.'GODIVA BELGIUM NV';WAPENSTILSTANDSTRAAT 5, 1081 BRUSSELS - BELGIUM, аекэцхъ;BE;;
REF-0047;т.'GOLDKENN S.A.';49 ROUTE DE VESSY, CH- 1234 VESSY/GENEVE, ьбеижюпхъ;CH;;
REF-0048;'KRAFT FOODS LIETUVA';TAIKOS PR.88, LT-51501 KAUNAS, кхрбю;LT;;
REF-0049;'KRAFT FOODS OSTERREICH';FOHRENBURGSTRASSE 1, A-6700 BLUDENZ, юбярпхъ;AT;;
REF-0050;т.'KRAFT FOODS SCHWEIZ AG';RHEINSTRASSE 150-151, 3027 BERN, ьбеижюпхъ;CH;;
REF-0051;т.'LINDT&SPRUNGLI';SEESTRASSE 204, CH-8802 KILCHBERG, ьбеижюпхъ;CH;;
REF-0052;т.'LIR CHOCOLATES LTD';NAVA IDA BUSINESS PARK, JOHNSTOWN, хпкюмдхъ;IE;;
REF-0053;т.'MARS NETHERLAND B.V.';TAYLORWEG 5,NL-5466 AE VEGHEL, мхдепкюмдш;NL;;
