Certificate No_;Factory Code;Factory_Description;Primary Factory;Certificate Type
пняя BE.ой05.д01455;REF-0217;ESTEE LAUDER  AG LACHEN;0;CQ
пняя BE.ой05.д01455;REF-0218;ESTEE LAUDER S R.L.;0;CQ
пняя BE.ой05.д01455;REF-0219;ESTEE LAUDER K.K. (KABUSHIKI KAISHA);0;CQ
пняя BE.ой05.д01455;REF-0220;ESTEE LAUDER S.N.C.;0;CQ
пняя BE.ой05.д01455;REF-0221;ESTEE LAUDER N.V.;1;CQ
пняя BE.ой05.д01455;REF-0222;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя BE.ой05.д01455;REF-0223;ESTEE LAUDER COMPANIES GMBH&CO. OHG;0;CQ
пняя BE.ой05.д01455;REF-0224;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя BE.ой05.д01455;REF-0225;ESTEE LAUDER COMPANIES INC;0;CQ
пняя BE.ой05.д03467;REF-0217;ESTEE LAUDER  AG LACHEN;0;CQ
пняя BE.ой05.д03467;REF-0218;ESTEE LAUDER S R.L.;0;CQ
пняя BE.ой05.д03467;REF-0219;ESTEE LAUDER K.K. (KABUSHIKI KAISHA);0;CQ
пняя BE.ой05.д03467;REF-0220;ESTEE LAUDER S.N.C.;0;CQ
пняя BE.ой05.д03467;REF-0221;ESTEE LAUDER N.V.;1;CQ
пняя BE.ой05.д03467;REF-0222;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя BE.ой05.д03467;REF-0223;ESTEE LAUDER COMPANIES GMBH&CO. OHG;0;CQ
пняя BE.ой05.д03467;REF-0224;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя BE.ой05.д03467;REF-0225;ESTEE LAUDER COMPANIES INC;0;CQ
пняя BE.ой05.д03472;REF-0217;ESTEE LAUDER  AG LACHEN;0;CQ
пняя BE.ой05.д03472;REF-0218;ESTEE LAUDER S R.L.;0;CQ
пняя BE.ой05.д03472;REF-0219;ESTEE LAUDER K.K. (KABUSHIKI KAISHA);0;CQ
пняя BE.ой05.д03472;REF-0220;ESTEE LAUDER S.N.C.;0;CQ
пняя BE.ой05.д03472;REF-0221;ESTEE LAUDER N.V.;1;CQ
пняя BE.ой05.д03472;REF-0222;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя BE.ой05.д03472;REF-0223;ESTEE LAUDER COMPANIES GMBH&CO. OHG;0;CQ
пняя BE.ой05.д03472;REF-0224;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя BE.ой05.д03472;REF-0225;ESTEE LAUDER COMPANIES INC;0;CQ
пняя BS.де01.б35025;REF-0092;'BACARDI & CO LIMITED';0;CQ
пняя CH.де01.б28083;REF-0006;BRITISH AMERICAN TOBACCO SWITZERLAND S.A.;1;CQ
пняя CH.де01.б32061;REF-0006;BRITISH AMERICAN TOBACCO SWITZERLAND S.A.;1;CQ
пняя CH.де01.б32526;REF-0023;PHILIP MORRIS PRODUCTS S.A.;1;CQ
пняя CH.де01.б35058;REF-0006;BRITISH AMERICAN TOBACCO SWITZERLAND S.A.;1;CQ
пняя CH.де01.б35601;REF-0006;BRITISH AMERICAN TOBACCO SWITZERLAND S.A.;1;CQ
пняя CH.оп71.б02418;REF-0217;ESTEE LAUDER  AG LACHEN;1;CQ
пняя CH.оп71.б02418;REF-0218;ESTEE LAUDER S R.L.;0;CQ
пняя CH.оп71.б02418;REF-0219;ESTEE LAUDER K.K. (KABUSHIKI KAISHA);0;CQ
пняя CH.оп71.б02418;REF-0220;ESTEE LAUDER S.N.C.;0;CQ
пняя CH.оп71.б02418;REF-0221;ESTEE LAUDER N.V.;0;CQ
пняя CH.оп71.б02418;REF-0222;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя CH.оп71.б02418;REF-0223;ESTEE LAUDER COMPANIES GMBH&CO. OHG;0;CQ
пняя CH.оп71.б02418;REF-0224;ESTEE LAUDER COSMETICS LTD;0;CQ
пняя CH.оп71.б02418;REF-0225;ESTEE LAUDER COMPANIES INC;0;CQ
пняя CN.юч56.б07375;REF-0256;LEONINE TOYS CO LTD;1;CQ
пняя CU.оп71.б84986;REF-0131;'HAVANA CLUB INTERNATIONAL S.A.';0;CQ
пняя DE.де01.б29315;REF-0014;JT INTERNATIONAL GERMANY GMBH;1;CQ
