Certificate No;File Number;File Name;Picture Type;Comment;User Create;Date of Creation;Time of Creation;User Delete;Date of Delete;Time of Delete;Deleted
47.01.05.912.о.000733.10.08;1;\\tro.lan\dept\certif\certificates\47.01.05.912.о.000733.10.08_1.jpg;0;;TSAHAROVA;2010-03-30 00:00:00.000;1754-01-01 10:43:17.557;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
47.01.05.912.о.000733.10.08;2;\\tro.lan\dept\certif\certificates\47.01.05.912.о.000733.10.08_2.jpg;0;;TSAHAROVA;2010-03-30 00:00:00.000;1754-01-01 10:43:20.840;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
50.04.01.912.о.029938.12.05;1;\\tro.lan\dept\certif\certificates\50.04.01.912.о.029938.12.05_1.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:52:56.830;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
50.04.01.912.о.029938.12.05;2;\\tro.lan\dept\certif\certificates\50.04.01.912.о.029938.12.05_2.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:53:01.470;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
50.04.01.912.о.029938.12.05;3;\\tro.lan\dept\certif\certificates\50.04.01.912.о.029938.12.05_3.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:53:05.860;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
50.99.01.912.о.005010.04.07;1;\\tro.lan\dept\certif\certificates\50.99.01.912.о.005010.04.07_1.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 17:03:01.517;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
50.99.01.912.о.005010.04.07;2;\\tro.lan\dept\certif\certificates\50.99.01.912.о.005010.04.07_2.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 17:03:05.820;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
69.01.01.912.о.000497.07.05;1;\\tro.lan\dept\certif\certificates\69.01.01.912.о.000497.07.05_1.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:47:24.983;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
69.01.01.912.о.000497.07.05;2;\\tro.lan\dept\certif\certificates\69.01.01.912.о.000497.07.05_2.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:47:31.700;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
69.01.01.912.о.000498.07.05;1;\\tro.lan\dept\certif\certificates\69.01.01.912.о.000498.07.05_1.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:46:50.060;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
69.01.01.912.о.000498.07.05;2;\\tro.lan\dept\certif\certificates\69.01.01.912.о.000498.07.05_2.jpg;0;;NGULYAEVA;2009-04-20 00:00:00.000;1754-01-01 16:46:55.653;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;0
