No_;Item No_;Unit of Measure Code;Descript;Descript2;Quantity per UoM;No_ Series;Item Department Code;Item Group Code;Item Tree Group No_;Gross Sales Amount
D00001;751001;ПОРЦИЯ;SMIROFF RED;;0.05000000000000000000;DISH;99;9901;9901001;0.00000000000000000000
D00002;751002;ПОРЦИЯ;FINLANDIA;;0.05000000000000000000;DISH;99;9901;9901001;0.00000000000000000000
D00003;751003;ПОРЦИЯ;FINLANDIA CRANBERRY;;0.05000000000000000000;DISH;99;9901;9901001;0.00000000000000000000
D00004;751004;ПОРЦИЯ;ABSOLUT VODKA;;0.05000000000000000000;DISH;99;9901;9901001;0.00000000000000000000
D00005;751005;ПОРЦИЯ;VODKA"RUSSIAN STANDART";;0.05000000000000000000;DISH;99;9901;9901001;0.00000000000000000000
D00006;751006;ПОРЦИЯ;VODKA"RUSSIAN STANDART"PLATIN;;0.05000000000000000000;DISH;99;9901;9901001;0.00000000000000000000
D00007;751007;SGL;Фисташки соленые 40г;;1.00000000000000000000;DISH;99;9904;9904015;0.00000000000000000000
D00008;751008;SGL;Арахис сол. ж/б 135г;;1.00000000000000000000;DISH;99;9904;9904015;0.00000000000000000000
D00009;751009;SGL;Арахис с медом ж/б 135г;;1.00000000000000000000;DISH;99;9904;9904015;0.00000000000000000000
D00010;751011;ШТ;Кешью 100г;;1.00000000000000000000;DISH;99;9904;9904015;0.00000000000000000000
D00011;751012;ШТ;Смесь студент. 40г;;1.00000000000000000000;DISH;99;9904;9904015;0.00000000000000000000
D00012;751013;ПОРЦИЯ;BACARDI BLACK;;0.05000000000000000000;DISH;99;9901;9901002;0.00000000000000000000
D00013;751014;ПОРЦИЯ;BACARDI CARTA BLANCA;;0.05000000000000000000;DISH;99;9901;9901002;0.00000000000000000000
D00014;751015;ПОРЦИЯ;OLMECA GOLD;;0.05000000000000000000;DISH;99;9901;9901003;0.00000000000000000000
D00015;751016;ПОРЦИЯ;OLMECA SILVER;;0.05000000000000000000;DISH;99;9901;9901003;0.00000000000000000000
D00016;751017;ШТ;Смесь студент. ж/б 135г;;1.00000000000000000000;DISH;99;9904;9904015;0.00000000000000000000
D00017;751019;ПОРЦИЯ;J.WALKER RED;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00018;751020;ПОРЦИЯ;J.WALKER BLACK;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00019;751021;ПОРЦИЯ;CHIVAS REGAL 12YO;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00020;751022;ПОРЦИЯ;J.Walker BLUE;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
