PLU;Alco_Grp_Code;Start_Date
000002;280;2004-12-20 00:00:00
000004;280;2004-12-23 00:00:00
000005;280;1753-01-01 00:00:00
000006;280;1753-01-01 00:00:00
000011;280;1753-01-01 00:00:00
000012;200;1753-01-01 00:00:00
000073;280;1753-01-01 00:00:00
001001;280;1753-01-01 00:00:00
001002;280;1753-01-01 00:00:00
001003;280;1753-01-01 00:00:00
001004;280;1753-01-01 00:00:00
001005;280;1753-01-01 00:00:00
001006;280;1753-01-01 00:00:00
001011;280;1753-01-01 00:00:00
001013;280;1753-01-01 00:00:00
001014;280;1753-01-01 00:00:00
001016;280;1753-01-01 00:00:00
001018;280;1753-01-01 00:00:00
001020;280;1753-01-01 00:00:00
001022;280;1753-01-01 00:00:00
001023;280;1753-01-01 00:00:00
001042;230;1753-01-01 00:00:00
001535;280;1753-01-01 00:00:00
001714;200;1753-01-01 00:00:00
002001;230;1753-01-01 00:00:00
002003;230;1753-01-01 00:00:00
002004;230;1753-01-01 00:00:00
002006;230;1753-01-01 00:00:00
002010;242;1753-01-01 00:00:00
002028;230;1753-01-01 00:00:00
002036;230;1753-01-01 00:00:00
002038;230;1753-01-01 00:00:00
002041;230;1753-01-01 00:00:00
002088;230;1753-01-01 00:00:00
002181;230;1753-01-01 00:00:00
002182;200;1753-01-01 00:00:00
002534;211;1753-01-01 00:00:00
003008;280;1753-01-01 00:00:00
003009;280;1753-01-01 00:00:00
003010;280;1753-01-01 00:00:00
003013;280;1753-01-01 00:00:00
003018;230;1753-01-01 00:00:00
003020;211;1753-01-01 00:00:00
003030;280;1753-01-01 00:00:00
003035;230;1753-01-01 00:00:00
003036;230;1753-01-01 00:00:00
003118;280;1753-01-01 00:00:00
003316;280;1753-01-01 00:00:00
003326;280;1753-01-01 00:00:00
003327;280;1753-01-01 00:00:00
003480;200;1753-01-01 00:00:00
003931;280;1753-01-01 00:00:00
004001;212;1753-01-01 00:00:00
004002;211;1753-01-01 00:00:00
004007;212;1753-01-01 00:00:00
004009;212;1753-01-01 00:00:00
004010;212;1753-01-01 00:00:00
004015;211;1753-01-01 00:00:00
004170;230;1753-01-01 00:00:00
004483;280;1753-01-01 00:00:00
004502;200;1753-01-01 00:00:00
004503;200;1753-01-01 00:00:00
004561;280;1753-01-01 00:00:00
004887;280;1753-01-01 00:00:00
005097;280;1753-01-01 00:00:00
005245;211;1753-01-01 00:00:00
006002;460;1753-01-01 00:00:00
006003;410;1753-01-01 00:00:00
006004;410;1753-01-01 00:00:00
006006;460;1753-01-01 00:00:00
006009;460;1753-01-01 00:00:00
006843;280;1753-01-01 00:00:00
006844;212;1753-01-01 00:00:00
007003;230;1753-01-01 00:00:00
007010;280;1753-01-01 00:00:00
007013;280;1753-01-01 00:00:00
007098;280;1753-01-01 00:00:00
007593;280;1753-01-01 00:00:00
007594;280;1753-01-01 00:00:00
008041;200;1753-01-01 00:00:00
008355;280;1753-01-01 00:00:00
008356;280;1753-01-01 00:00:00
008737;211;1753-01-01 00:00:00
008738;211;1753-01-01 00:00:00
008739;211;1753-01-01 00:00:00
008744;230;1753-01-01 00:00:00
008745;230;1753-01-01 00:00:00
009612;230;1753-01-01 00:00:00
009958;230;1753-01-01 00:00:00
009958;229;2015-02-09 00:00:00
011668;230;1753-01-01 00:00:00
011684;200;1753-01-01 00:00:00
011685;200;1753-01-01 00:00:00
011686;200;1753-01-01 00:00:00
012457;230;1753-01-01 00:00:00
012458;280;1753-01-01 00:00:00
013258;230;1753-01-01 00:00:00
013259;230;1753-01-01 00:00:00
013260;460;1753-01-01 00:00:00
015465;280;1753-01-01 00:00:00
015532;230;1753-01-01 00:00:00
015682;200;1753-01-01 00:00:00
016170;230;1753-01-01 00:00:00
016970;500;2005-03-01 00:00:00
017325;230;1753-01-01 00:00:00
017330;280;1753-01-01 00:00:00
017652;230;1753-01-01 00:00:00
017652;229;2015-02-09 00:00:00
017653;230;1753-01-01 00:00:00
017653;229;2015-02-09 00:00:00
017665;280;1753-01-01 00:00:00
017807;280;1753-01-01 00:00:00
018986;280;1753-01-01 00:00:00
019021;230;1753-01-01 00:00:00
019321;211;1753-01-01 00:00:00
