ID;ID_Father;Child;Tree_Level;Group_Name;Key_String
;;AAA;2;...;AANAAAABY
01;;AAB;0;LIQUOR;AAB
0101;01;AAA;1;WHISKY;AABAAA
0101001;0101;AAI;2;Scotch Standard;AABAAAAAI
0101002;0101;AAA;2;SCOTCH DELUXE;AABAAAAAA
0101003;0101;AAB;2;SCOTCH MALT;AABAAAAAB
0101004;0101;AAC;2;SCOTCH SUPER PREMIUM;AABAAAAAC
0101005;0101;AAD;2;IRISH WHISKEY;AABAAAAAD
0101006;0101;AAE;2;IRISH MALT;AABAAAAAE
0101007;0101;AAF;2;IRISH PREMIUM;AABAAAAAF
0101008;0101;AAG;2;CANADIAN/BOURBON/RYE;AABAAAAAG
0101009;0101;AAH;2;WHISKEY PRESENTATIONS;AABAAAAAH
0101010;0101;AAJ;2;USA/BOURBON;AABAAAAAJ
0101011;0101;AAK;2;CANADIAN BLENDED;AABAAAAAK
0102;01;AAB;1;GIN;AABAAB
0102001;0102;AAA;2;GIN STANDARD;AABAABAAA
0102002;0102;AAB;2;GIN PREMIUM;AABAABAAB
0102003;0102;AAC;2;GIN PRESENTATION;AABAABAAC
0103;01;AAC;1;RUM;AABAAC
0103001;0103;AAA;2;WHITE RUM;AABAACAAA
0103002;0103;AAB;2;GOLDEN RUM;AABAACAAB
0103003;0103;AAC;2;DARK RUM;AABAACAAC
0103004;0103;AAD;2;RUM PRESENTATIONS;AABAACAAD
0104;01;AAD;1;VODKA;AABAAD
0104001;0104;AAA;2;VODKA STANDARD 40%(INTL);AABAADAAA
0104002;0104;AAB;2;VODKA PREMIUM 50%(INTL);AABAADAAB
0104003;0104;AAC;2;VODKA 60%(INTL);AABAADAAC
0104004;0104;AAD;2;VODKA FLAVOURED(INTL);AABAADAAD
0104005;0104;AAE;2;VODKA RUSSIAN;AABAADAAE
0104006;0104;AAF;2;VODKA RUSSIAN FLAVOURED;AABAADAAF
0104007;0104;AAG;2;VODKA PRESENTATION;AABAADAAG
0104008;0104;AAH;2;VODKA RUSSIAN PREMIUM;AABAADAAH
0104009;0104;AAI;2;INTERNATIONAL VODKA;AABAADAAI
0104010;0104;AAJ;2;INTERNATIONAL FLAVOURED VODKA;AABAADAAJ
0104011;0104;AAK;2;RUSSIAN VODKA;AABAADAAK
0105;01;AAE;1;BRANDY;AABAAE
0105001;0105;AAA;2;CALVADOS;AABAAEAAA
0105002;0105;AAB;2;GRAPE BRANDY;AABAAEAAB
0105003;0105;AAC;2;INTERNATIONAL;AABAAEAAC
0106;01;AAF;1;COGNAC;AABAAF
0106001;0106;AAA;2;VS;AABAAFAAA
0106002;0106;AAB;2;VSOP;AABAAFAAB
0106003;0106;AAC;2;MID RANGE;AABAAFAAC
0106004;0106;AAD;2;NAPOLEON;AABAAFAAD
0106005;0106;AAE;2;XO;AABAAFAAE
0106006;0106;AAF;2;EXTRA PRESENTATION;AABAAFAAF
0107;01;AAG;1;ARMAGNAC;AABAAG
0107001;0107;AAA;2;3 STAR;AABAAGAAA
0107002;0107;AAB;2;VSOP;AABAAGAAB
0107003;0107;AAC;2;MID RANGE;AABAAGAAC
0107004;0107;AAD;2;NAPOLEON;AABAAGAAD
0107005;0107;AAE;2;XO;AABAAGAAE
0107006;0107;AAF;2;EXTRA PRESENTATION;AABAAGAAF
