Division_Code;PLU;Barcode;Blocked
NULL;260566;2020000340782;0
NULL;288023;2020000898993;0
NULL;288018;2020000901280;0
NULL;291448;2020001046294;0
NULL;291447;2020001046324;0
NULL;291415;2020001046485;0
NULL;291458;2020001046874;0
NULL;349751;2020001379705;0
NULL;351152;2031004600192;0
NULL;351153;2031004600215;0
NULL;365405;2031008200176;0
NULL;260574;2020000289418;0
NULL;260656;2020000338659;0
NULL;280443;2020000708650;0
NULL;280393;2020000720560;0
NULL;280494;2020000788133;0
NULL;288917;2020000890355;0
NULL;288008;2020000900542;0
NULL;291461;2020001046898;0
NULL;291434;2020001048007;0
NULL;291428;2020001052981;0
NULL;349755;2020001378821;0
NULL;349731;2020001381104;0
NULL;260598;2020000140436;0
NULL;260584;2020000224082;0
NULL;280396;2020000787426;0
NULL;288920;2020000951339;0
NULL;291439;2020001046119;0
NULL;349748;2020001381142;0
NULL;351143;2031014100071;0
NULL;260662;2020000190233;0
NULL;280464;2020000720195;0
NULL;280456;2020000747895;0
NULL;280404;2020000788065;0
NULL;280402;2020000788072;0
NULL;288001;2020000900283;0
NULL;349738;2020001380985;0
NULL;351149;2031004600161;0
NULL;260669;2020000189503;0
NULL;260660;2020000190219;0
NULL;260572;2020000245766;0
NULL;260577;2020000279358;0
NULL;280499;2020000720508;0
NULL;280371;2020000788157;0
NULL;288915;2020000890348;0
NULL;288005;2020000900429;0
NULL;288006;2020000900450;0
NULL;291437;2020001046249;0
NULL;260592;2020000175278;0
NULL;260670;2020000189527;0
NULL;260576;2020000279327;0
NULL;280496;2020000788126;0
NULL;280374;2020000788188;0
NULL;288002;2020000900313;0
NULL;291445;2020001046270;0
NULL;351150;2031004600208;0
NULL;365403;2031008200152;0
NULL;260554;2020000340980;0
NULL;280436;2020000702191;0
NULL;280459;2020000787327;0
NULL;291442;2020001046140;0
NULL;349735;2020001381029;0
NULL;260672;2020000189473;0
NULL;260580;2020000245674;0
NULL;260650;2020000248231;0
NULL;280444;2020000706403;0
NULL;280478;2020000708551;0
