Code;Name_;Name_2;Address_;Address_2;City;Phone_No_;Phone_No_2;Telex_No_;Fax_No_;Contact;Post Code;County;EMail;Home_Page;Country_Region Code;Use As In-Transit;Require Put-away;Require Pick;Cross-Dock Due Date Calc_;Use Cross-Docking;Require Receive;Require Shipment;Bin Mandatory;Directed Put-away and Pick;Default Bin Selection;Outbound Whse_ Handling Time;Inbound Whse_ Handling Time;Put-away Template Code;Use Put-away Worksheet;Pick According to FEFO;Allow Breakbulk;Bin Capacity Policy;Open Shop Floor Bin Code;Inbound Production Bin Code;Outbound Production Bin Code;Adjustment Bin Code;Always Create Put-away Line;Always Create Pick Line;Special Equipment;Receipt Bin Code;Shipment Bin Code;Cross-Dock Bin Code;Outbound BOM Bin Code;Inbound BOM Bin Code;Base Calendar Code;Use ADCS;Last Goods Report No_;Last Goods Report Date;Responsible Employee No_;Virtual Location;Inventory Positive Adjmt_;Inventory Negative Adjmt_;Hiden Location;Check BoE No_;Check Country Code;Custom Code;Custom Transit;Custom Mode;Def-t Purchase Status Schema;Def-t Sales Status Schema;Def-t Tr_ Trans_ Status Schema;Def-t Transfer Status Schema;Def-t Inventory Status Schema;Inventory Price Group;Company;Global Dimension 1 Code;Global Dimension 2 Code;DB Location Code;ValidateVolume;Use PortTerminal;Need Divide;Address_3;Replenishment Group;Replenishment Weight;Use Planned Cross Docking;Active for Autom_ Replenishm_;Default Replenishm_ Grade Code;Location is a Warehouse;Replenish as Location Code;AF LOC ID;AF LOC ID2
B001;Shannon's Irish Bar;B001;АВК 'Домодедово';;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;DME;0;DP;;;;;;;;IRISH BAR;IRISH BAR;DM;0;0;1;;;0.00000000000000000000;0;0;;0;;;
B002;Runway FRESH;B002;АВК 'Домодедово';;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;DME;0;DP;;;;;;;;FRESH BAR;FRESH BAR;DM;0;0;1;;;0.00000000000000000000;0;0;;0;;;
CS;SLG (резерв для BU);CS;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;DME;0;IM96;;;;;;;;;;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
D001;Damaged in WH (DME);D001;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;DME;0;IM96;;;;;;;;;;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
D002;Damaged in Shop (DME);D002;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;DME;0;IM96;;;;;;;;;;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
D051;Damaged DME DP;;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;DME;0;DP;;;;;;;;;;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
D401;Брак DF (SVO);;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;SVO;0;IM96;;;;;;;;;;SVO;0;1;0;;;0.00000000000000000000;0;0;;0;;;
D451;Брак DP (SVO);;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;SVO;0;DP;;;;;;;;;;SVO;0;1;0;;;0.00000000000000000000;0;0;;0;;;
D601;Damage DF (OVB);;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;OVB;0;IM96;;;;;;;;;;OVB;0;0;0;;;0.00000000000000000000;0;0;;0;;;
D651;Damage DP (OVB);;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;OVB;0;DP;;;;;;;;;;OVB;0;0;0;;;0.00000000000000000000;0;0;;0;;;
DAMAGED;Брак (DME);DAMAGED;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;DME;0;IM96;;;;;;;;;;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
DM;virtual location;DM;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;;0;;;;;;;;;;;DM;0;1;0;;;0.00000000000000000000;0;0;;0;;;
MISC;Miscellaneous;MISC;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;1;1;0;DME;0;IM96;;;;;;;;;;DM;0;1;0;;;0.00000000000000000000;0;0;;0;;;
OVB;virtual location;;;;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;0;0;;0;;;;;;;;;;;OVB;0;1;0;;;0.00000000000000000000;0;0;;0;;;
S001;Gallery;S001;АВК 'Домодедово';;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;DME;0;IM96;;;;;;;;GALLERY;;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
S002;Runway DF 106m;S002;АВК 'Домодедово';;;;;;;;;;;;;0;0;0;;0;0;0;0;0;0;;;;0;0;0;0;;;;;0;0;0;;;;;;;0;0;1753-01-01 00:00:00.000;;0;;;0;1;0;DME;0;IM96;;;;;;;;GALLERY;DUTY FREE 106;DM;0;0;0;;;0.00000000000000000000;0;0;;0;;;
