Manufacturer_Code;Manufacturer_Name;VAT_Reg_No;KPP_Code;Number_;New_Code
10TH_KNGDM;10е Королевство;;;2;P00001
1TOY;1toy;;;3;P00002
4D PAZZLES;4D PAZZLES;;;4;P00003
5TH SEASON;5th Season;;;5;P00004
A. MARTINI;ALVIERO MARTINI;;;6;P00005
A.GOUTAL;A.Gsoutal;;;7;P00006
A_ALLIANCE;ART ALLIANCE;;;8;P00007
A_BRANDS;ALLIED BRANDS;;;474;P00008
A_SOLAR;A_Solar;;;454;P00009
ADIDAS;Adidas;;;9;P00010
AEROBRIDGE;Aerobridge;;;10;P00011
AEROBRIDGU;AEROBRIDGU;;;487;
AFISHA;Afisha;;;11;P00012
AIR HOGS;Air Hogs;;;12;P00013
AKM;AKM;;;467;P00014
ALCOM;Alcom Active;;;478;P00015
ALD INT;ALD International;;;13;P00016
ALEF;Alef Coffee and Tea;;;14;P00017
ALEXAND.J;Задвоенный производитель;;;1749;
ALISA;ЗАО "МТК Алиса";;;485;
ALPARGATAS;Alpargatas;;;15;P00018
AMBREA;Ambrea;;;16;P00019
AMINOFF CO;UA Aminoff Co. Inc;;;17;P00020
AMKA;Amka Wines;;;18;P00021
AMKA_WINES;Amka Wines;;;19;P00022
AMOUAGE;Amouage;;;20;P00023
ANGUILLA;ANGUILLA RUMS Ltd;;;21;P00024
ANNE KLEIN;Anne Klein;;;22;P00025
ANTICHEDIS;ANTICHEDISTILLERIE RIUNIE;;;23;P00026
ARARAT;Ararat;;;24;P00027
ARI_CIG;ARI Cigars;;;25;P00028
ARI_LIQ;ARI Liqour;;;26;P00029
ART LAIN;Art Lain;;;28;P00030
ARTALLINCE;ARTALLINCE;;;29;P00031
AS;AS;;;30;P00032
ASPEKT;Aspekt;;;440;P00033
ATR;ATR;;;453;P00034
AURORWORLD;Aurora World Corporation;;;31;P00035
AV_NY;A.V. JEWELRY OF NY;;;479;P00036
B VELVET;Black Velvet;;;477;P00037
B_BROS;Berry Bros;;;32;P00038
B_FOREMAN;Brown Forman;;;33;P00039
BACARDI;Bacardi Martini;;;34;P00040
BAKUGAN;Bakugan;;;35;P00041
BALLY;Bally;;;36;P00042
BANDAI;Bandai;;;37;P00043
BAR PROD;Bar Product;;;38;P00044
BARAKA;Baraka;;;39;P00045
BARBARA;Barbara;;;40;P00046
BAT;British American Tobaco;;;41;P00047
BEAUT.MIND;Beautiful Mind;;;42;P00048
BECCA;BECCA;;;43;P00049
BEJAR PERF;Bejar Perf;;;44;P00050
BELUGA;ОАО "Мариинский ЛВЗ";4213003050;421301001;45;P00051
BEST TOYS;Best Toys;;;46;P00052
BGSW;Beam Global Spirits and Wine;;;47;P00053
BIK;ООО "БИК";;;1753;
BINDA GR;Binda Group;;;48;P00054
BLAVOD;Blavod;;;49;P00055
BLISS;Bliss;;;50;P00056
BLUHMOD;BLUHMOD;;;51;P00057
BM;Blumarine;;;52;P00058
BOADICEA;Boadicea;;;53;P00059
BODEGAS;Bodegas;;;54;P00060
BODY SHOP;BODY SHOP;;;1693;
BOR MANOUX;Borie Manoux;;;55;P00061
BOSCO_SP;Bosco Sport;;;56;P00062
BOWMORE;Bowmore Scotch;;;57;P00063
BPI;Beauty Pristige International;;;58;P00064
BRACCI;BRACCI;;;463;P00065
BRATZ;BRATZ;;;59;P00066
BREITLING;Breitling;;;60;P00067
BREX_GRP;Brex Group;;;61;P00068
BRIC'S;Bric's;;;62;P00069
BROSWAY;Brosway;;;1660;
BUGATTI;Bugatti;;;426;P00070
BVLGARI;BVLGARI;;;63;P00071
BYREDO;Byredo;;;64;P00072
C. D'ACHE;C. D'ACHE;;;433;P00073
C. FRACCI;Carla Fracci;;;65;P00074
C_FRAPIN;Cognac Frapin;;;66;P00075
C_SWISS;Chronoswiss;;;67;P00076
CADBURY;Cadbury;;;68;P00077
CAMUS;Camus;;;69;P00078
CARON;Caron;;;70;P00079
CAVALLI;CAVALLI;;;71;P00080
CAVALLI_J;CAVALLI_J;;;72;P00081
CAVALLI_R;Cavalli Roberto;;;73;P00082
CAVALLI_W;CAVALLI WATCHES;;;74;P00083
CDL;Coeur de Lion;;;75;P00084
CERRUTI;CERRUTI;;;1689;
CHANEL;Chanel;;;76;P00085
CHAP MEI;Chap Mei;;;77;P00086
CHIRCHILLS;CHIRCHILLS;;;78;P00087
CITY  TOYS;City Toys;;;79;P00088
CK;Calvin Klein;;;80;P00089
CL.BIJOUX;Cl.Bijoux;;;81;P00090
CLARINSGRP;Clarins Group;;;82;P00091
CLP;Clarins Group;;;83;P00092
COCA COLA;Coca Cola;;;84;P00093
COCCINELLE;Coccinelle;;;462;P00094
CODELLO;Codello;;;85;P00095
COFINLUXE;COFINLUXE;;;1690;
CONCORD;Concord;;;86;P00096
COOLEY DIS;COOLEY DISTILLERY;;;87;P00097
CORUM;Corum;;;88;P00098
COTY;COTY Prestige;;;89;P00099
CREED;Creed;;;90;P00100
CRISTALL;Cristall;;;91;P00101
CT;Chronotech;;;92;P00102
CUERVO;Cuervo;;;93;P00103
CVK;ЗАО ТД "С-ВК СВК";;;473;P00104
D BY FLOYA;D by Floya;;;1661;
D_COMPARI;Campari Cinzano;;;94;P00105
D_G;Dolce & Gabbana;;;95;P00106
D_RIGO;De Rigo;;;96;P00107
D_ROTH;Daniel Roth;;;97;P00108
DANOVA;Danova;;;98;P00109
DANSKA;Danska Vodka;;;99;P00110
DAVIDOFF;Davidoff Cigars;;;100;P00111
DB_SRL;DB Sambuca;;;101;P00112
DE'LUNA;De'luna;;;102;P00113
DE;;;;1670;
DE LUNA L;De Luna Luxe;;;103;P00114
DELSEY;Delsey;;;104;P00115
DESIGN GO;Design Go;;;105;P00116
DESIGUAL;DESIGUALFK;;;1669;
DIAGEO;Diageo;;;106;P00117
DIESEL;DIESEL;;;107;P00118
DILAN;Dilan;;;416;P00119
DIO;Dio Amarula;;;108;P00120
DIPTYQUE;Diptyque;;;109;P00121
DISNEY;Disney;;;110;P00122
DOLG;Youri Dolgoruki Vodka;;;111;P00123
DOMAINS;Domains Cases;;;112;P00124
DR_DRE;Beats by Dr.Dre;;;455;P00125
