No_;Responsibility Center;StoreName;Addr;Addr2;City;Post Code;Store Manager ID;Store Open from;Store Open to;PhoneNo;Country Code;Global Dimension 1 Code;Location Code;Currency Code;Global Dimension 2 Code;Store Open After Midnight;Last Date Modified;POS Func_ Profile;LI_LO in Transaction;No_ Series;Statement Nos_;One Statement per Day;Statement Method;Closing Method;Rounding Account;Max_ Diff_ to Allow Post_;Max_ Round_ in Stmt_;Max_ Diff_ from Shift Date;Allowed Diff_ in Trans_;Tend_ Decl_ Calculation;Total Discount Tender;xRemove_Add Tender;Create Labels for 0 Price;Campaign Nos_;Promotion Nos_;Periodic Discount Nos_;POS Terminal Nos_;Staff ID Nos_;Coupon Nos_;Item Nos_;Data Access Control;Store VAT Bus_ Post_ Gr_;Store Gen_ Bus_ Post_ Gr_;Language Code;POS Inventory Lookup;Rcpt_ Text Max_ Length;No_ of Top_Bottom Lines;Item No_ on Receipt;Last Action for Label Upd;Last Action for Item Label Upd;No Shelf Label Printing;No Item Label Printing;Service Charge %;Serv_ Charge_ Inc_Exp Acc;Service_Charge_Prompt;Customs  Nos;Current Shift;Picture;E-mail Address;POS Nos;POS Posting Nos;POS Shipping Nos;Automatic Drawer Creation;Automatic Salesperson Creation;Store size (square meters);xNo_ of Tables (Columns);xRestaurant Layout;xNo_ of Tables (Rows);Show Sales Price;Receiving Nos_;Posted Receiving Nos_;Def_ BOM Method;Gift Registration Nos_;Use Batch Posting for Statem_;Only Accept Statement;Max_ Diff_ to Allow Accept;Current Hosp_ Printing Route;POS Start Amount Method;Post to Bank Account;Ordering Status;Delivery_Takeout Change;For Report TOTALS;Not Show in Reports;Calculate Statement by FR Date;Store Bar;Everest Log;Discount Card Nos_;Discount Card Type Nos_;Retail Customer Nos_;Post Sales BOM Nos_;Collect Tender Type;Tax Area Code;Company;AutoTotal Discount Nos_;SBSS Store No_;AF LOC ID;AF LOC ID2
ATR;;¿Ú‡Ì;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;;;;;0;2012-04-26 00:00:00.000;;0;;;0;2;0;;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;;;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;1;0;0;0;;;;;;;;;;;
B001;;Shannon's Irish Bar;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;IRISH BAR;B001;RUB;IRISH BAR;0;1753-01-01 00:00:00.000;DUTY PAID;0;;Œ“◊≈“-B001;0;1;0;895;100.00000000000000000000;250.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;¡¿–-œ“;Ã¿√¿«»Õ;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;0;1;1;0;;;;DISH_BAR01;;;;;;;
B001TMP;;Temp Irish POS;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;IRISH BAR;B001;RUB;IRISH BAR;0;2014-08-24 00:00:00.000;DUTY PAID;0;;Œ“◊≈“-B001;0;1;0;895;100.00000000000000000000;250.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;¡¿–-œ“;Ã¿√¿«»Õ;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;0;1;1;0;;;;;;;;;;;
B002;;Runway FRESH;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;FRESH BAR;B002;RUB;FRESH BAR;0;1753-01-01 00:00:00.000;DUTY PAID;0;;Œ“◊≈“-B002;0;1;0;895;100.00000000000000000000;1200.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;¡¿–-œ“;Ã¿√¿«»Õ;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;0;1;1;0;;;;DISH_BAR02;;;;;;;
COMPRESS;;Compress;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;;;;;0;2012-04-16 00:00:00.000;;0;;;0;0;0;;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;;;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;1;0;0;0;;;;;;;;;;;
DM;;ƒÓÏÓ‰Â‰Ó‚Ó;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;;;;;0;2012-04-16 00:00:00.000;;0;;;0;2;0;;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;;;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;1;0;0;0;;;;;;;;;;;
HO;;÷ÂÌÚ‡Î¸Ì˚È ŒÙËÒ;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;;;;;0;2012-04-26 00:00:00.000;;0;;–Œ«Õ-Œ“◊≈“;0;2;0;;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;; ŒÃ¡_— ;;;;;0;;;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;1;0;0;0;;ƒ  “»œ;;;;;;;;;
S001;;Gallery;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;GALLERY;S001;;;0;1753-01-01 00:00:00.000;STORE;0;;Œ“◊≈“-S001;0;1;0;895;100.00000000000000000000;150.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;–Œ«Õ»÷¿;Ã¿√¿«»Õ;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;0;1;0;0;;;;;;;;;;;
S002;;Runway DF 106m;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;GALLERY;S002;;DUTY FREE 106;0;1753-01-01 00:00:00.000;STORE;0;;Œ“◊≈“-S002;0;1;0;895;100.00000000000000000000;200.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;–Œ«Õ»÷¿;Ã¿√¿«»Õ;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;0;1;0;0;;;;;;;;;;;
S003;;Runway Beauty;;;;;;1753-01-01 00:00:00.000;1753-01-01 00:00:00.000;;;GALLERY;S003;;BEAUTY;0;2014-04-29 00:00:00.000;STORE;0;;Œ“◊≈“-S003;0;1;0;895;100.00000000000000000000;420.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0;;;0;;;;;;;;0;–Œ«Õ»÷¿;Ã¿√¿«»Õ;;0;39;10;0;0;0;0;0;0.00000000000000000000;;;;;NULL;;;;;0;0;0;5;NULL;5;0.00000000000000000000;;;0;;0;0;0.00000000000000000000;;0;0;0;0;0;0;1;0;0;;;;;;;;;;;
