Vendor_Code;Vendor_Name;Addr;Addr2;City;Contact;Phone;Currency_Code;Blocked;Prices_Including_VAT;Fax;INN;EMail;OKPO_Code;Full_Name;KPP_Code;Alcohol_Vendor_Type
AA_ECO;Арт Альянс ЭКО;;;;;;;0;1;;;;;;;0
AA_USA_LLC;Art Alliance LLC;4450 S. Park Ave .MD 20815;MD 20815;;;+13019515137;;0;1;+12404652293;;;;;;0
I_SUP001;ЗАО "Русская вино-водочная ком;Россия,г.Москва;ул. Донская,д.12,корп.2;;;9374703;RUB;0;0;9374702;7724191384;;;;99735001;0
I_SUP002;ЗАО "Руст Инкорпорэйтэд";Россия, г. Москва;ул. 1905 года,д.7;;;;RUB;0;0;;7703058663;;;;044583151;0
I_SUP003;ООО "АСТ-Интернэшнл Инваэромэнт";Каширский пр-д, д. 23, стр. 4, 1 этаж, помещение 3;;Москва;;(495)411-53-40;RUB;0;1;;7712037444;;40052395;Общество с ограниченной ответственностью "АСТ-интернэшнл инваэронмэнт";772701001;0
I_SUP004;ООО "Гимра";;;;;;RUB;0;0;;;;;;;0
I_SUP005;ООО "ТК Океан";;;;;;RUB;0;0;;;;;;;0
I_SUP006;ООО "Еврoсервис";;;;;;RUB;0;0;;;;;;;0
I_SUP007;ООО "Русагроторг";Россия, г.Москва;ул. Нежинская,д.19,корп.1;;;;RUB;0;0;;7729368010;;;;772901001;0
I_SUP008;ООО "Премиум-Фудс"; ул.Тихвинская,д.20;;;;9730727;RUB;0;0;;7715533144;;;;771501001;0
I_SUP009;ООО "Агрос Эко";;;;;;RUB;0;0;;;;;;;0
I_SUP010;ООО "Аякс-Пресс";ул. Мастеркова д.4;;Москва;;+7 (495) 725-08-94;RUB;0;1;;7725113244;;52457753;Общество с ограниченной ответственностью "Аякс-Пресс";772501001;0
I_SUP011;Chateau Le Grand Vostock;;;;;;RUB;0;0;;;;;;;0
I_SUP012;ООО "ПепсиКо Холдингс";Московская обл., Солнечногорский район территория;;;;+7(095)797-61-00;RUB;0;1;;7705034202;;;Общество с ограниченной ответственностью "Пепси Холдингс";509950001;0
I_SUP013;ООО "Бибендум";ул.Мытная д.13, кор.1;;;;995-11-34;RUB;0;0;;;;;;;0
I_SUP014;ООО "Форин Ленд Компани";;;;;;RUB;0;0;;;;;;;0
I_SUP015;ОАО "Эльдорадо М";Стахановская д.6;;;;(095) 171-92-62;RUB;0;0;;;;;;;0
I_SUP016;ООО "ТК СТЕНЛИ+";ул. Годовикова, д.9;;;;721-29-80;RUB;0;0;;;;;;;0
I_SUP017;ЗАО "БРПИ";Огородный проезд, д. 16;;Москва;;967-37-01;RUB;0;0;;7715057618;;03203689;Закрытое акционерное общество "БРПИ";771501001;0
I_SUP018;ЗАО "Домодедово ЭР Сервис";Домодед. р-н, а/п Домодедово;;;;323-87-29;RUB;0;0;;;;;;;0
I_SUP019;ЗАО "ЭМБОРГ АО";Ступинский пр-д, 1/А;;;;728-41-40;RUB;0;0;;;;;;;0
I_SUP020;OOO "Vremena Goda";Россия, г.Москва;Дмитровское шоссе,4512;;;7484436;RUB;0;0;7484437;7713085585;;;;774101001;0
I_SUP021;ООО "Комплекс Бар";;;;;;RUB;0;0;;;;;;;0
I_SUP022;ООО "Компания Август";;;;;;RUB;0;0;;;;;;;0
I_SUP023;ООО "Линн Гранд";;;;;;RUB;0;0;;;;;;;0
I_SUP024;ООО "Фаст Фуд Индастриз";;;;;;RUB;0;0;;;;;;;0
I_SUP025;ООО "Агама Трэйд";;;;;;RUB;0;0;;;;;;;0
I_SUP026;ООО "Компания Гринфилдс";ул. Самотечная д. 1/15;;Москва;;231-22-44;RUB;0;0;;7727650491;;85817180;Общество с ограниченной ответственностью "Компания Гринфилдс";770701001;0
I_SUP027;ООО "Гранд-Сити";г.Москва ул.Гиляровского д.3/1;;;;;RUB;0;0;;;;;;;0
I_SUP028;ЗАО "Домодедово Аэротэль";;;;;;RUB;0;0;;;;;;;0
I_SUP029;ООО "Алеф Трейд";ул. Краснобогатырская д.90 к.2;;;;;RUB;0;0;;7718502433;;;;771801001;0
I_SUP030;Афиша Индастриз;;;;;;RUB;0;0;;;;;;;0
I_SUP031;ООО "Прод М";г. Муром ул. Расковой д. 13;;;;545-88-01;RUB;0;0;;;;;;;0
I_SUP032;ООО "Восток-Запад";Солнечногорский район, д. Елино;ул. Зеленоградская стр. 1;Московская область;;;RUB;0;0;;7743623093;;98327626;Общество с ограниченной ответственностью "Восток-Запад Столица";774301001;0
I_SUP033;ЗАО ТД "Северная Компания";ул. Салтыковская д. 8;;Москва;;(495) 984-69-69;RUB;0;1;;7706542914;;51214197;Закрытое акционерное общество Торговый Дом "Северо-Восточная Компание СВК";770601001;0
I_SUP034;ООО "Одинцовская кон-ая ф-ка";Россия, Московская область; деревня  Малые Вяземы д.20;;;9730727;RUB;0;0;9730729;5032056319;;;;503201001;0
I_SUP035;ООО "Рекламная группа Олмакс";г. Москва ул Марксистская д.20;;;;;RUB;0;0;;;;;;;0
I_SUP036;ООО "КОНФАЭЛЬ";Россия,Московская область;ул.Коммунальный квартал д.3;Красногорск;;+7495777-1-333;RUB;0;0;+7495777-1-333;5009043336;;;;500901001;0
I_SUP037;ООО "Токалс";Москва Автомобильный пр.;д.10 стр. 15;;;;RUB;0;0;;7722659934/772202001;;;;;0
I_SUP038;ООО СК "ТОРГОВЛЯ";Россия,Москва;Ленинградское ш., д.69;;;+74952410808;RUB;0;0;+74957421817;5009043336;esannikova@sevcom.ru;;;500901001;0
I_SUP039;ООО Издательский Дом "ПоРог";г.Москва, ул.Дмитровский;проезд,д.20,корп.2;;;+7(495)6110339;RUB;0;0;;7713335771;;;;771301001;0
I_SUP040;ООО "Торговая Компания Океан+";Москва,ул.Коптевская,д73Бстр1;Москва,ул.Коптевская,д73Бстр1;;;+7(495)450-10-88;RUB;0;0;;7734150919;;;;774301001;0
I_SUP041;ООО ТД "С-ВК СВК";Филевский бульвар,д.1;Филевский бульвар,д.1;Москва;;984-69-69;RUB;0;0;700-60-30;7730716022;;;ООО Торговый Дом "Северо-Восточная Компания СВК";773001001;0
I_SUP042;ООО "Нью-Оптика";ул. Усиевича, д. 24/2;;Москва;;(495)956-50-35;RUB;0;1;956-50-34;7712101883;;18619591;Общество с ограниченной ответственностью ООО "Нью-Оптика";774301001;0
I_SUP043;СП ЗАО "СОВЕР-М";Москва,Б.Чудов пер,д.8 стр.1;;;Васильева Ирина Юрьевна;(495)-246-07-67/246-20-05;RUB;0;0;245-72-00/245-73-87;7728044119;;;;770401001;0
I_SUP044;ООО "Фирма "ЛОТОС-ЛЕНД";Проектируемый 5167-й проезд, д. 9, стр 1, пом. 1;1 этаж, комната № 2д, комната № 2о;Москва;;;RUB;0;0;;2312026671;;26997255;Общество с ограниченной ответственностью "Фирма ЛОТОС-ЛЭНД";773203001;0
I_SUP045;ООО "АМАТТИ ЦЕНТР";г.Москва 4-й Лихачёвский п.д15;;;;540-71-86;RUB;0;0;154-02-81;5018061363;;;;;0
I_SUP046;ООО "ТАЙМВЕЙ ГРУПП";Москва,Новоясеневский пр-т д4;;;;495-660-86-54;RUB;0;0;;7728591030;;;;772801001;0
I_SUP047;ООО "СМАРТ";г.Москва ул.Сад.-Черногрязская;;;;;RUB;0;0;;7701571742;;;;770101001;0
I_SUP048;ООО "КОНТАКТ ТРЕЙДИНГ";Москва ул.3-я Владимирская,д.3;корп.1;;Майоров Дмитрий/Грязев Роман;1631192/1649451;RUB;0;0;;7720580534;;;;772001001;0
I_SUP049;ООО "СИТИ ТОЙЗ";Моск.обл,Ленинский р-н;МКАД 47 км,стр 16 оф 4;;;495-799-96-18;RUB;0;0;;5003056498;;;;500301001;0
I_SUP050;ООО "СНС Сервис";г.Москва Кавказский б-р д.57;;;;495-325-17-42;RUB;0;0;;;;;;;0
I_SUP051;ООО "ОЛЛВИН";г.Москва,ул.Зорге,д.28;;;Селютина Наталья;769-71-27/315-98-13;RUB;0;0;;7714142525;;;;771401001;0
I_SUP052;ООО "Формула доставки";г. Москва ул. Марксиская;д.34 кор. 8;;;;RUB;0;0;;7709544300;;;;;0
I_SUP053;ООО "Самсонайт";ул. Обручева дом 30/1, стр.2;;Москва;;725-39-79;RUB;0;1;;7706644419;;98970380;Общество с ограниченной ответственностью ООО "Самсонайт";772801001;0
I_SUP054;ЗАО "Астрайт";Юр.ад Звездный бульв д21,стр1;;;Наталья Стебловская;615-84-57;RUB;0;0;;7702159644;;;;771701001;0
I_SUP055;ООО "АС-Маркет";Юр. гОдинцово-2 Пос-кЗападный;Почт Одинц р-нПос-кЛетнОтдых;;Игорь;8-498-696-00-10(11);RUB;0;0;;5032051293;;;;503201001;0
I_SUP056;ООО "ДИСКОМ";Москва, Изюмская, 49;;;Даницкий Андрей;336-90-11;RUB;0;0;;7727575685;;;;772701001;0
I_SUP057;ООО "Аваль-О";юр Ленинский пр-т,4 стр1А;п Угрешская, 2 стр.74, 103;;Яндулова Ольга Григорьевна;139-72-89;RUB;0;0;;7706232197;;;;770601001;0
I_SUP058;ООО "Сувенирофф.ру";г. Москва ул. Тверская-Ямская;4-ая д.14 корп. 3;;;(495)223-23-29;RUB;0;0;;;;;;;0
I_SUP059;ООО "Алеф Кофе и Чай";Сиреневый бульвар, д.65, стр.1;4я Тверская-Ямская,22 стр2;;;7456662;RUB;0;1;;7719507219;;;;771901001;0
I_SUP060;ООО "Люкс Старз";125368 Москва Барышиха,19;;;;641-44-10;RUB;0;0;;7733553601;;;;773301001;0
I_SUP061;ООО "ЭКЗОТИКА";121087 Москва, Багратионовский;Багратионовский пр-д,1стр2;;Костькин Алексей;148-17-67;RUB;0;0;;7730537055;;;;7730001001;0
I_SUP062;ООО "Мир фэнтези";123060 Москва Маршала Рыбалко,;дом11;123060;Ткачева Лина Романовна;721-32-48;RUB;0;0;721-32-48;7734572967;lina_tc@mail.ru;;;773401001;0
I_SUP063;OOО Найк;Москва, ул.Обручева д.30/1 с.2;Москва, ул.Обручева д.30/1 с.2;г. Москва;495-5407252;495-5407252;RUB;0;1;495-5407250;7702345288;;;;772801001;0
I_SUP064;ООО "Идея Икс";г. Москва ул. Новая Басманная;д.28 стр. 1 офис 23;;;(495) 223-23-29;RUB;0;0;;;;;;;0
I_SUP065;ООО "Столичные Сладости";Алтуфьевское шоссе, д.37, стр. 8;;Москва;;482-34-18;RUB;0;1;;7702659189;;84067009;Общество с ограниченной ответственностью "Столичные сладости";770201001;0
I_SUP066;ООО "БКпроект";г. Москва Старомонетный пер.;д. 9  кв.стр. 1;;;;RUB;0;0;;7706660474;;;;;0
I_SUP067;ООО "ТойДиКо";Атарбекова, 4;107076;;Абрамов Виталий;7-499-964-47-30;RUB;0;1;;7718152281;;;;771801001;0
I_SUP068;ООО "Биг Трейд";Каширский пр-д, д. 23, стр. 7;;Москва;;411-89-19;RUB;0;0;;7727642116;;84820642;Общество с ограниченной ответственностью "БИГ ТРЭЙД";772701001;0
I_SUP069;ООО "СВАМ Дистрибьюшн";Сходненская д.33;;;;;RUB;0;0;;7733578194;;;;;0
I_SUP070;ООО «Панэм»;г. Москва ул. Прянишникова;д.23;;;;RUB;0;0;;7713545419;;;;;0
I_SUP071;ООО «Кока-Кола ЭйБиСи Евразия»;ул. Баумана д. 66;;Нижний Новгород;;8(495)737-77-77;RUB;0;1;;7701215046;;13235549;Общество с ограниченной ответственностью "Кока-Кола ЭйБиСи Евразия";773203001;0
I_SUP072;ООО "Торговый Дом РУСДЕЛ";ул. Тверская, д. 19/31, стр.1, офис 45;;Москва;;787-91-06;RUB;0;1;;7710469520;;70117293;Общество с ограниченной ответственностью "Торговый Дом РУСДЕЛ";771001001;0
I_SUP073;ООО «Расском»;Санкт-Петербург Сампсониевский;пр-т,32 офис210;194044;Долгачева Ирина Владимировна;;;0;0;;7802328215;;;;780201001;0
I_SUP074;ЗАО «Арпласт-Т»;г. Москва, Варшавское шоссе,;д. 141 стр. 34;;;+7 (495) 225-30-30;RUB;0;0;;5037050871;;;;772401001;0
I_SUP075;ООО "Малета";121471,Мосва,Рябиновая65,стр.2;121471,Мосва,Рябиновая65,стр.2;;;7-495-645-83-49;RUB;0;1;;4704038223;;;;772902001;0
I_SUP076;ООО Старый Мастер-НВ;Хорошевское шоссе, д. 32а;;Москва;;;RUB;0;0;;;;99659773;;771401001;0
I_SUP077;ООО "Кристалл-Вест";ул. Скотопрогонная, д. 35, стр. 2, офис 310;;Москва;;;RUB;0;1;;7714252581;;;;772201001;0
I_SUP078;ООО "Орион Групп";Фурманный пер., д. 19 стр.1;;Москва;;;RUB;0;0;;7706619966;;53905310;Общество с ограниченной ответственностью "Орион Групп";770101001;0
I_SUP079;ООО "Аллигатор";ул. Верхоянская д.18, корп. 2;;Москва;;;RUB;0;0;;7716582641;;;;;0
I_SUP080;ООО ТПК «ВИЛОН»;Московская область, ОАО "НИКТИСК";;Щелково-2;;(495)223-97-49, (495)223-97-27;RUB;0;0;;5050040449;;23493844;Общество с ограниченной ответственностью Торгово-Промышленная Компания "ВИЛОН";505001001;0
I_SUP081;ООО "Фирма СТИФ";Москва, 13-ая Парк., д.27, к.4;Москва, 13-ая Парк., д.27, к.4;;Строчков Игорь Федорович;+7 499 130 48 07;RUB;0;1;;7719120469;;;;771901001;0
I_SUP082;ООО "Фуд Дитрибьюшен Групп";пр-д Серебрякова, д.6, стр. 3;;Москва;;(495) 646-26-42;RUB;0;0;;7716593474;;84076190;Общество с ограниченной ответственностью "Фуд Дистрибьюшен Групп";771601001;0
