“овар Ќо.;ќписание;÷ена; ол-во;—умма в ѕрод. ÷енах;—умма —ебестоимости;price;location
500072; апуччино;И 0,00;-746;И 0,00;И 0,53;-0,0007;B001  Shannon's Irish Bar
500857; олбаски в асс.;И 0,00;-705;И 0,00;-И 23 509,26;33,3465;B001  Shannon's Irish Bar
500593;јссам;И 0,00;-604;И 0,00;И 2 577,36;-4,2672;B001  Shannon's Irish Bar
500644;јмерикано;И 0,00;-509;И 0,00;И 0,32;-0,0006;B001  Shannon's Irish Bar
500463;—алат ÷езарь;И 0,00;-358;И 0,00;-И 0,03;0,0001;B001  Shannon's Irish Bar
500068;Ёспрессо;И 0,00;-353;И 0,00;И 0,44;-0,0012;B001  Shannon's Irish Bar
500980;√амбургер с картофелем;И 0,00;-285;И 0,00;-И 0,16;0,0006;B001  Shannon's Irish Bar
500071;Ћатте с сиропом;И 0,00;-282;И 0,00;И 0,71;-0,0025;B001  Shannon's Irish Bar
500882;‘етучини с куриной грудкой;И 0,00;-282;И 0,00;И 0,26;-0,0009;B001  Shannon's Irish Bar
500858; рылышки;И 0,00;-261;И 0,00;-И 0,11;0,0004;B001  Shannon's Irish Bar
500759;—уп лапша куриный;И 0,00;-246;И 0,00;-И 0,17;0,0007;B001  Shannon's Irish Bar
500952; отлета в асс. с пюре;И 0,00;-238;И 0,00;И 0,17;-0,0007;B001  Shannon's Irish Bar
500594;«елена€ —енча;И 0,00;-222;И 0,00;И 1 675,97;-7,5494;B001  Shannon's Irish Bar
500942;Ѕлины с ветчиной;И 0,00;-217;И 0,00;-И 0,23;0,0011;B001  Shannon's Irish Bar
500896;ѕанини с ветчиной;И 0,00;-208;И 0,00;-И 0,05;0,0002;B001  Shannon's Irish Bar
500502;Ѕорщ;И 0,00;-196;И 0,00;И 0,19;-0,0010;B001  Shannon's Irish Bar
500404;ƒвойной  апуччино;И 0,00;-193;И 0,00;-И 0,20;0,0010;B001  Shannon's Irish Bar
500946;—ырники со сметаной;И 0,00;-193;И 0,00;И 0,02;-0,0001;B001  Shannon's Irish Bar
500860; артофель дольками 200гр;И 0,00;-190;И 0,00;-И 0,07;0,0004;B001  Shannon's Irish Bar
500920;√амбургер;И 0,00;-184;И 0,00;И 0,01;-0,0001;B001  Shannon's Irish Bar
501066;—алат ќливье с курицей;И 0,00;-178;И 0,00;И 0,01;-0,0001;B001  Shannon's Irish Bar
500962;Ўницель ¬енский с карт.пюре;И 0,00;-160;И 0,00;-И 0,31;0,0019;B001  Shannon's Irish Bar
501039; омбо набор є1;И 0,00;-160;И 0,00;-И 0,05;0,0003;B001  Shannon's Irish Bar
500999; урина€ грудка с карт. пюре;И 0,00;-154;И 0,00;И 0,02;-0,0001;B001  Shannon's Irish Bar
500875;Ћосось;И 0,00;-148;И 0,00;И 0,04;-0,0003;B001  Shannon's Irish Bar
501009;ѕиво Budweiser Dark кега 30л;И 0,00;-143,4;И 0,00;-И 33 184,57;231,4126;B001  Shannon's Irish Bar
500810;ѕивна€ тарелка;И 0,00;-135;И 0,00;-И 23 336,28;172,8613;B001  Shannon's Irish Bar
500864;ћолоко;И 0,00;-134;И 0,00;-И 0,06;0,0004;B001  Shannon's Irish Bar
500947;—ол€нка м€сна€;И 0,00;-133;И 0,00;-И 0,04;0,0003;B001  Shannon's Irish Bar
500850;"—алат ""÷езарь с семгой""";И 0,00;-119;И 0,00;-И 714,17;6,0014;B001  Shannon's Irish Bar
500465;—алат √реческий;И 0,00;-111;И 0,00;-И 0,57;0,0051;B001  Shannon's Irish Bar
501060;ƒраники картофельные;И 0,00;-111;И 0,00;-И 0,05;0,0005;B001  Shannon's Irish Bar
500445;ћасло Cливочное ѕорц.(произв.);И 0,00;-110;И 0,00;-И 931,85;8,4714;B001  Shannon's Irish Bar
500944;Ѕлины с м€сом;И 0,00;-110;И 0,00;И 0,08;-0,0007;B001  Shannon's Irish Bar
500069;ƒвойной Ёспрессо;И 0,00;-108;И 0,00;И 0,57;-0,0053;B001  Shannon's Irish Bar
501044; отлета по-»рландски;И 0,00;-101;И 0,00;И 0,10;-0,0010;B001  Shannon's Irish Bar
500597;÷веток ∆асмин;И 0,00;-94;И 0,00;И 962,66;-10,2411;B001  Shannon's Irish Bar
500940;Ѕлинчики со сметаной;И 0,00;-93;И 0,00;И 0,19;-0,0020;B001  Shannon's Irish Bar
500598;Ёрл √рей;И 0,00;-84;И 0,00;-И 117,46;1,3983;B001  Shannon's Irish Bar
501036;Ѕлинчики со сгущЄнным молоком;И 0,00;-82;И 0,00;И 0,03;-0,0004;B001  Shannon's Irish Bar
500030;Fresh Orange Juice 0,2;И 0,00;-76,73;И 0,00;-И 0,04;0,0005;B001  Shannon's Irish Bar
500943;Ѕлины с лососем;И 0,00;-76;И 0,00;-И 0,21;0,0028;B001  Shannon's Irish Bar
500789;—емга с/сол;И 0,00;-70;И 0,00;И 170,62;-2,4374;B001  Shannon's Irish Bar
500645;ƒвойной јмерикано;И 0,00;-62;И 0,00;И 0,66;-0,0106;B001  Shannon's Irish Bar
501008;«апеченный сыр Camembert;И 0,00;-52;И 0,00;-И 0,06;0,0012;B001  Shannon's Irish Bar
501002;—андвич с ветчиной;И 0,00;-45;И 0,00;-И 0,27;0,0060;B001  Shannon's Irish Bar
501005;Ѕлины с ветчиной и сыром;И 0,00;-45;И 0,00;-И 0,14;0,0031;B001  Shannon's Irish Bar
501048;ќвощи запечЄнные;И 0,00;-42;И 0,00;И 0,01;-0,0002;B001  Shannon's Irish Bar
501049;‘иле сЄмги.на гр.с зап.овощами;И 0,00;-42;И 0,00;И 0,05;-0,0012;B001  Shannon's Irish Bar
500790;—тронгбоу 30л;И 0,00;-40,77;И 0,00;-И 10 019,75;245,7628;B001  Shannon's Irish Bar
500491;ћасло 82% 10гр.;И 0,00;-35;И 0,00;-И 92,05;2,6300;B001  Shannon's Irish Bar
500941;Ѕлины с медом;И 0,00;-32;И 0,00;И 0,26;-0,0081;B001  Shannon's Irish Bar
500427;Fresh Grape-fruit Juice 0,3;И 0,00;-29,575;И 0,00;-И 0,09;0,0030;B001  Shannon's Irish Bar
500945;Ѕлины со сливочным маслом;И 0,00;-24;И 0,00;-И 0,28;0,0117;B001  Shannon's Irish Bar
501072;–олл с лососем;И 0,00;-24;И 0,00;И 0,00;0,0000;B001  Shannon's Irish Bar
500927;—оус Heinz;И 0,00;-16;И 0,00;-И 0,10;0,0063;B001  Shannon's Irish Bar
500725;—ырники;И 0,00;-13,46;И 0,00;-И 1 888,18;140,2808;B001  Shannon's Irish Bar
500745; урина€ котлета с карт. пюре;И 0,00;-10;И 0,00;-И 638,70;63,8700;B001  Shannon's Irish Bar
500813;Ўашлыки из семги с рисом 250г;И 0,00;-10;И 0,00;-И 711,90;71,1900;B001  Shannon's Irish Bar
500863;√орчица;И 0,00;-10;И 0,00;-И 0,07;0,0070;B001  Shannon's Irish Bar
501001;Ѕизнес ланч с картофелем;И 0,00;-9;И 0,00;-И 0,19;0,0211;B001  Shannon's Irish Bar
500878;—иропы в асс.;И 0,00;-7;И 0,00;-И 0,01;0,0014;B001  Shannon's Irish Bar
500904;ѕирожки с постной начинкой;И 0,00;-7;И 0,00;-И 44,38;6,3400;B001  Shannon's Irish Bar
500854;—метанка 20%;И 0,00;-6;И 0,00;И 11,71;-1,9517;B001  Shannon's Irish Bar
500855;ћед;И 0,00;-6;И 0,00;-И 2 011,31;335,2183;B001  Shannon's Irish Bar
500560; олбасные снеки в ассорт.;И 0,00;-5;И 0,00;-И 248,50;49,7000;B001  Shannon's Irish Bar
500930; омплексный обед;И 0,00;-5;И 0,00;-И 0,01;0,0020;B001  Shannon's Irish Bar
500800;"¬ино ""ѕросеко —пуманте"" 0,75л";И 0,00;-4,85;И 0,00;-И 1 967,43;405,6557;B001  Shannon's Irish Bar
500601;Ѕонаква в асс. 0,25л;И 0,00;-4;И 0,00;-И 34,00;8,5000;B001  Shannon's Irish Bar
500640;ћартини Ѕь€нко —ода 0,1Ћ;И 0,00;-4;И 0,00;-И 220,32;55,0800;B001  Shannon's Irish Bar
500856; етчуп;И 0,00;-4;И 0,00;-И 22,51;5,6275;B001  Shannon's Irish Bar
500890; рем-суп сырный;И 0,00;-4;И 0,00;-И 246,68;61,6700;B001  Shannon's Irish Bar
500991; уриные улитки;И 0,00;-4;И 0,00;-И 0,15;0,0375;B001  Shannon's Irish Bar
500758;¬ино ѕино √риджио 0,75л;И 0,00;-3,5;И 0,00;-И 1 004,50;287,0000;B001  Shannon's Irish Bar
500793;ћайонез порц. 25гр;И 0,00;-3;И 0,00;-И 10,92;3,6400;B001  Shannon's Irish Bar
500865;—ливки;И 0,00;-3;И 0,00;И 0,12;-0,0400;B001  Shannon's Irish Bar
501010;—ыр ƒатский Ѕри 125гр;И 0,00;-3;И 0,00;-И 267,81;89,2700;B001  Shannon's Irish Bar
500002;’ейнекен светлое 30Ћ;И 0,00;-2,2;И 0,00;-И 165,93;75,4227;B001  Shannon's Irish Bar
500468;—эндвич Ћосось;И 0,00;-2;И 0,00;И 0,46;-0,2300;B001  Shannon's Irish Bar
550466;∆аркое с курицей;И 0,00;-2;И 0,00;-И 158,12;79,0600;B001  Shannon's Irish Bar
500004;Ѕаклер 0,33Ћ;И 0,00;-1;И 0,00;-И 19,86;19,8600;B001  Shannon's Irish Bar
500117; руаcсан;И 0,00;-1;И 0,00;-И 21,19;21,1900;B001  Shannon's Irish Bar
500968; аша гречнева€ с грибами и лук;И 0,00;-1;И 0,00;-И 56,98;56,9800;B001  Shannon's Irish Bar
500979;ѕирожки с м€сной начинкой;И 0,00;-1;И 0,00;-И 12,41;12,4100;B001  Shannon's Irish Bar
501030;—уп лапша с курицей;И 0,00;-1;И 0,00;И 0,00;0,0000;B001  Shannon's Irish Bar
501037;Ѕлинчики с шоколадом;И 0,00;-1;И 0,00;-И 0,10;0,1000;B001  Shannon's Irish Bar
500772;“орт Ђјнтремеї с манго;И 0,00;-0,88;И 0,00;-И 511,20;580,9091;B001  Shannon's Irish Bar
500015;ћорс  люквенный 1Ћ;И 0,00;-0,6;И 0,00;-И 23,48;39,1333;B001  Shannon's Irish Bar
500763;¬ино »вкур Ѕордо —авин.0,75л;И 0,00;-0,55;И 0,00;-И 229,95;418,0909;B001  Shannon's Irish Bar
500830;—ок “омат 0,2 л;И 0,00;-0,4;И 0,00;-И 0,03;0,0750;B001  Shannon's Irish Bar
500534;Ќемирофф особ. (произв) 1Ћ 40%;И 0,00;-0,005;И 0,00;-И 0,90;180,0000;B001  Shannon's Irish Bar
500541;ћартини Ѕь€нко (произв.) 1Ћ15%;И 0,00;-0,005;И 0,00;-И 1,94;388,0000;B001  Shannon's Irish Bar
500482;–ом √авана  луб (произв)1Ћ 40%;И 0,00;-0,003;И 0,00;-И 2,42;806,6667;B001  Shannon's Irish Bar
500330;ƒжемесон (произв.) 1Ћ 40%;И 0,00;-0,002;И 0,00;-И 1,53;765,0000;B001  Shannon's Irish Bar
500331;Ѕэйлис (произ.) 1Ћ 17%;И 0,00;-0,002;И 0,00;-И 1,51;755,0000;B001  Shannon's Irish Bar
500773;“орт Ђјнтермеї лесные €годы;И 0,00;-0,0003;И 0,00;-И 0,16;533,3333;B001  Shannon's Irish Bar
500807;" олбаски ""ƒомашние"" є2 (камин)";И 0,00;-0,0003;И 0,00;-И 0,15;500,0000;B001  Shannon's Irish Bar
500809; олбаски √ов€жие Ѕескиден;И 0,00;-0,0003;И 0,00;-И 0,15;500,0000;B001  Shannon's Irish Bar
