GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP
45122145;1 TOY;16223292;1 TOY
45122146;ABERLOUR;;
45122147;ABSOLUT;;
45122148;SMIRNOFF;;
45122149;GORDONS;16223081;GORDONS
45122150;BACARDI;16223084;BACARDI
45122151;CAPTAIN MORGAN;;
45122152;BEEFEATER;;
45122153;FAMOUS GROUSE;;
45122154;BALLANTINES;;
45122155;STAR TIME;;
45122157;Chanel;16222685;CHANEL
45122158;JEAN PAUL GAULTIER;;
45122160;DAVIDOFF;;
45122161;JAMESON;16223086;Jameson
45122163;J&B;;
45122164;JW;16223255;JW
45122165;GLENFIDDICH;;
45122166;GLENLIVET ;;
45122167;TEACHER'S ;;
45122168;CHIVAS;16223085;CHIVAS
45122169;WHYTE&MACKAY;;
45122171;CAMUS;;
45122172;LONG JOHN;;
45122173;TULLAMORE;;
45122174;FINLANDIA;;
45122175;REMY MARTIN;16223221;REMY MARTIN
45122176;MARTELL;16223216;MARTELL
45122177;METAXA ;;
45122179;GIORGIO ARMANI;16223319;GIORGIO ARMANI
45122180;GIVENCHY;16222723;GIVENCHY
45122181;SWAROVSKI;16222772;SWAROVSKI
45122182;MALIBU;;
45122183;GUERLAIN;16222725;GUERLAIN
45122184;OTARD ;;
45122185;RUSSIAN AMBER;;
45122186;J_BEAM;16223079;J_BEAM
45122187;BAILEYS;16223082;BAILEYS
45122188;NESTEA;16223091;Nestea
45122190;LIPTON;;
45122191;CAMPARI;16223076;CAMPARI
45122192;TEXIER;;
45122193;LANSON;;
45122194;J7;;
45122195;TROPICANA;;
45122196;DRAMBUIE;;
45122197;COINTREAU ;16223083;COINTREAU 
45122198;DESIGN GO;16223218;DESIGN GO
45122199;GUYLIAN;;
45122200;Lancome;16222632;LANCOME
45122201;DUNHILL;16222714;DUNHILL
45122202;WINSTON;;
45122203;MARLBORO ;;
45122205;VOGUE;;
45122206;ROTHMANS;;
45122207;WEST;;
45122208;PARLIAMENT;;
45122210;MILKA ;;
45122211;MILD SEVEN;;
45122212;KENT;;
45122213;SANDEMAN;;
45122214;MARTINI;16223077;MARTINI
45122215;MUMM ;;
45122217;J_DANIELS;16223078;J_DANIELS
45122218;ROYAL SALUTE;;
45122219;OLMECA ;16223087;OLMECA 
45122220;HINE;;
45122221;HERMES;16223071;HERMES
45122222;HENNESSY;16223101;Hennessy
45122224;CACHAREL;16222703;CACHAREL
45122225;SPRITE;16223093;SPRITE
45122226;FANTA;16223094;FANTA
45122227;COCA COLA;16223088;COCA COLA
45122228;PICASSO;16222746;PICASSO
45122232;MONTECRISTO;;
45122233;TOBLERONE;16223145;TOBLERONE
45122234;LAURENT PERRIER;;
45122235;MEUKOW;;
45122236;COHIBA;16223097;Cohiba
45122237;HOYO;16223214;HOYO
45122238;PARTAGAS ;;
45122239;FRAPIN;;
45122240;R1;;
45122242;ROMEO Y JULIETA;;
45122243;SHERIDANS ;;
45122244;PAVILLONS DE SAINT-ESTEPHE;;
45122245;CHATEAU MOULIN DE SAINT VINCENT;;
45122246;CHATEAU BATAILLEY;;
45122247;CHATEAU BEAU-SITE;;
45122248;CAMPO VIEJO;;
45122249;MARQUES DE VILLAMAGNA;;
45122250;GUCCI;16222724;GUCCI
45122252;CLARINS;16222710;CLARINS
45122254;CARRERA Y CARRERA;;
45122256;FOSSIL;;
45122257;FAZER;;
45122258;MERCI;16223176;Merci
45122259;STORCK;16223177;STORCK
45122260;LINDT;16223149;Lindt
45122261;FERRERO;;
45122262;RAYMOND WEIL;;
45122263;CARTIER;;
45122264;BOMBAY SAPPHIRE;;
45122265;KENZO;16222736;KENZO
45122266;CLINIQUE;16222969;CLINIQUE
45122267;DOM PERIGNON;;
45122270;FREY WILLE;16223057;FREY WILLE
45122273;AVO;;
45122275;MAJORICA;;
45122276;BANG&OLUFSEN;;
45122277;DKNY;;
45122278;J.P.CHENET;;
45122279;–”—— »… —“¿Õƒ¿–“ ;;
45122282;BEAU RIVAGE;;
45122283;NESTLE;;
45122284;AFTER EIGHT;;
45122285;TISSOT ;;
45122286;VEUVE CLICQUOT PONSARDIN;;
45122287;LONGINES;;
45122288;HELENA RUBINSTEIN;16222729;HELENA RUBINSTEIN
