LOC_ID;NAME;DESCR;LOC_TYPE;REGION
10902813;01_Departures Shop 1;001;1;2
10906320;02_Departures Shop 2;002;1;2
10906323;04_Jewellery/Watches Boutique;004;1;2
10906324;05_Mixed;005;1;2
10906325;06_Paul&Shark;006;1;2
10906326;08_ Fashion Boutique;008;1;2
10906328;11_Engineers DF;011;2;2
10906329;12_Alcove D1;012;2;2
10906330;13_Displays DF;013;2;2
10906331;14_Alcove D2;014;2;2
10906332;15_IRISH BAR SVO-2;015;2;4
10905202;17_Crew shop;017;1;2
10906334;18_Pal Zileri;018;1;2
10906335;20_SV01 - SHOP   ;020;1;4
10906336;21_Irish Bar SVO-1;021;1;4
11020392;50_SKYSTORE;050;2;3
10906338;60_INTERNET STORE;060;2;3
10906339;67_MDF - Wharehouse;067;2;3
10906340;68_JEWELLERY INSPECTION;068;2;3
10906341;69_SANITARY INSPECTION;069;2;3
10906342;70_NON-CONDITION;070;2;3
10906343;73_Damage Stock;073;2;3
12346567;74_DAMAGE JEWELLERY;074;2;3
10906344;81_ST LOOSES  GOODS;081;2;3
15987987;82_ภัส;082;2;3
25516809;301_Alcove 301 Liquors;301;2;2
25516812;302_Alcove 302 Parfumery;302;2;2
25516027;311_Departures 311 (Liquors);311;1;2
25516028;312_Mini Store   312;312;1;2
25516032;313_Departures 313 (Sunglasses);313;1;2
25516038;321_Departures 321 (Exclusive Parfume);321;1;2
25516090;322_Departures 322 (Chanel Boutique);322;1;2
25516151;323_Departures 323 (Bvlgary);323;1;2
25516465;324_Departures 324 (Paul & Shark);324;1;2
25516635;325_Departures 325 (Omega);325;1;2
29896143;326_Departures 326 (Lancel);326;1;2
25516636;331_Departures 331 (Perfumery & Cosmetics);331;1;2
25516637;332_Departures 332 (Swarovski);332;1;2
25516638;341_Departures 341 (Jew/Watch);341;1;2
25516639;351_Departures 351 (Fashions);351;1;2
25516640;361_Departures 361 (Toys & Souvenirs);361;1;2
25516666;371_Departures 371 (Night);371;1;2
