DISCOUNT_ID_EUR;DISCOUNT_ID_USD;DISCOUNT_ID_RUB;DESCR;;;;;;;;;
-1;-1;-1;Ñêèäêà íà êàññå;;;;;;;;;
10908453;10908453;;00 - 06 - Discount card 5;;;;;;;;;
10908455;10908455;;00 - 08 Discount card 10;;;;;;;;;
10908456;10908456;;00 - 09 Spring LIQUER discount íà ÷åê 10;;;;;;;;;
12112949;12112949;;00 - 21 Crew Shop Discount 20 íà ÷åê;;;;;;;;;
12112956;;;00 - 28 - Sunglasses discount  30;;;;;;;;;
12112957;12112957;;00 - 29 - Sunglasses discount  35;;;;;;;;;
25279799;25279799;;00 - 72  Discount 3;;;;;;;;;
25277944;25277944;;00 - 73 Discount 8;;;;;;;;;
16786974;16786974;;00 - 74 Discount 13;;;;;;;;;
25390182;25390182;;00 - 79 Discount 15 (> 5000 euro);;;;;;;;;
12112955;12112955;;0-00-27 - Sunglasses discount  15;;;;;;;;;
45124606;;;0-00-30 SWAR discount 10 íà ÷åê;;;;;;;;;
45123444;45123444;;0-00-31 Sunglas S.Offer 2014 disc 25;;;;;;;;;
17405926;17405926;;0-00-32 SWAR discount 15;;;;;;;;;
17405927;;;0-00-33 Liquers  -10;;;;;;;;;
25581348;;;0-00-75 Discount 20 liquors;;;;;;;;;
25581028;25581028;;00-34  Discount 10 (> 5000 euro);;;;;;;;;
12112951;;;01 - 23 Jewellery discount  3;;;;;;;;;
12112952;;;01 - 24 Jewellery discount  5;;;;;;;;;
10907979;;;01 - BARON OTARD XO 0.7 GOLD SAVE 10 EURO;;;;;;;;;
10907986;;;02 - CAPTAIN MORGAN SPICED BLACK  1L  3 for 2;;;;;;;;;
17272349;17272349;;03 - 80 Staff Disc ÷åê 20;;;;;;;;;
10908975;;;03 - LINDT DIVA HATBOX 229 G 27 EURO OFF;;;;;;;;;
10907990;10907990;;04 - 04 Staff Disc ÷åê 30;;;;;;;;;
10924068;;;04 - LINDT DIVA SLIPCASE 57 G 5 EURO OFF;;;;;;;;;
10907989;10907989;;05 - 03 Staff Disc ÷åê 40;;;;;;;;;
11740744;;;05 - LINDT DIVA JEWELLERY 182 G 10EURO OFF;;;;;;;;;
10907988;;;06 - 02 Staff Disc - 50;;;;;;;;;
10907991;;;06 - 05 Staff Disc - 15;;;;;;;;;
11740745;;;06 - J.WALKER BLUE 0.7L  17 EURO OFF;;;;;;;;;
11706454;11706454;;07 - 20 VIP discount 5;;;;;;;;;
12163729;;;07 - BAILEYS 1L  any 3 for 2 ;;;;;;;;;
17409316;;;08 - DON JULIO REPOSADO .7L 15 percent off;;;;;;;;;
17409325;;;09 - DON JULIO ANEJO .7L 15 percent off;;;;;;;;;
10909094;;;10 - BALLANTINES FINEST 1L 4 EURO OFF;;;;;;;;;
