LOC_ID;NAME;DESCR;LOC_TYPE;REGION
10901351;мнбнрекэ 03;3;1;4
10968448;хпкюмдяйхи аюп 09 ьпл-1;9;1;4
10903030;10 йНЛОКЕЙРНБЙЮ + рПЮМГХР DP;10;1;4
10946017;дхяокех 13 DP;13;2;4
10967355;"люцюгхм ""бшкер 19""";19;1;4
10903035;хмфемепш 22 DP;22;2;4
11021747;мнбнрекэ яйкюд рнбюпш люцюгхмю  23;23;1;1
1142346;"люцюгхм ""бшкер 25""";25;1;1
11263292;хпкюмдяйхи аюп 26 ьпл-2;26;1;1
11263293;"яйкюд ""рнбюпш дкъ аюпю"" 27";27;2;1
11446478;28 яйкюд люцюгхмю он рнпцнбке мю анпрс 28;28;2;4
10903037;мейнмдхжхъ 30 DP;30;2;3
11095124;мнбнрекэ мейнмдхжхъ  33;33;2;4
15930331;3333   AF_DM яйкюд ;3333;2;5
13928046;391_бШКЕР 391(лхмхлюпйер);391;1;2
13928059;392_бШКЕР 392(хцпсьйх х ясбемхпш);392;1;2
13928060;393_бШКЕР 393(ябюпнбяйх);393;1;2
13928061;399_DP Alcove 399;399;2;2
15601412;400 DP CATALOGUE SKYSHOP;400;2;4
16222861;411_дле_хцпсьйх х рнбюпш дкъ дереи;411;1;5
15599765;444 DP SKY CATALOGUE STORE ;444;2;4
15973122;оНДЛЕММШИ ТХКХЮК;4444;1;2
13140179;51 яЙКЮД лрабя DP;51;2;4
13140181;52 бХРПХМЮ лрабя DP;52;2;4
13140182;53 нАПЮГЖШ ЙНЛОКЕЙРЮЖХХ DP;53;2;4
13140183;54 мЕЙНМДХЖХЪ лрабя DP;54;2;4
11420787;хмфемепш мнбнрекэ 55;55;2;4
15511191;5555 яйкюд ор (нор);5555;2;3
16223565;61 рнбюпш дкъ хмрепмер люцюгхмю;61;2;3
14292514;88_ST LOOSES  GOODS DP;88;2;3
14810661;93  яегнммше рнбюпш;93;1;2
10903039;яйкюд онькхммни рнпцнбкх 9999;9999;2;3
16223741;яйкюд дкъ реярепнб 7777    ;7777;2;3
16223753;7771 реярепш дкъ люцюгхмнб DF SVO2       ;7772;2;1
16223754;7772 реярепш дкъ люцюгхмнб DF SVO3       ;7773;2;2
16223755;7773 реярепш дкъ люцюгхмнб DP ;7774;2;2
