DP_SUP_ID;DF_USD_ID;DF_SUP_ID;SUP_NAME
15900160;10924084;10924084;M10049     MARS HOLLAND 
11039767;26205725;26205725;K56999     KASKAD LOGISTIC
16223481;25843088;25843088;E12468      ESTERK
11092582;10907447;10907447;C60708     L CONNAUGHTON & SON 
15115888;36154934;36154934;FO45678   FOSSIL
15418168;12153978;12153978;CLARINS GROUP
15840663;24329398;24329398;LA55516   LAMY-ALD INT 
10902937;10907395;10907395;G10046     GUESS - IBB SKY 
10903018;10907430;10907430;T32759     TEXIER 
16223555;45124194;45124194;HIBWAY LTD
14114614;10912490;10912490;S33333     SOUNDLINE 
15963513;25925276;25925276;SS00011   SWISS SMILE
10902884;10907242;10907242;A10076     ART-BOOKS LTD 
14113498;44550935;44550935;T12468      TALIKA
16223578;12153979;12153979;COTY GROUP
14008124;10907355;10907355;D34567     DOLCE & GABBANA
15192910;10907584;10907584;P14673     LANCOME PBI 
10903006;10907471;10907471;S11001     SILHOUETTE INT  
12529723;45121228;45121228;GI20000    GIVENCHY PARFUME DP
14348260;10907549;10907549;B14673     BIOTHERM  PBI
14832869;28487171;28487171;C21212     CHURCHILLS
10902938;10907259;10907259;G55545     GENERLUX TRADING SA  
10902932;10907361;10907361;G11100    GK GROSS OOO 
13672106;10922016;10922016;B14674     BIOTHERM SKY 
15768570;10907313;10907313;K10028     KENZO PARFUMS 
14046274;10907377;10907377;S10014     SAMSONITE EUROPE 
10903005;10907281;10907281;S10133     SWAROVSKI JEWELLERY 
15059512;29316730;29316730;P87654     POLICE TIME WATCHES
10913918;10907324;10907324;M10980     MAJORICA EURO 
14877652;12143309;12143309;L'OREAL
16222764;43747035;43747035;V00137     ¬» “Œ–»ﬂ ŒŒŒ
14122386;16904957;16904957;E12345     ES.MOLECULES Esterk
11380711;10924104;10924104;M10094     MARKET CONNECTION EURO SKY 
10902935;10907502;10907502;G10002     GIVENCHY COUTURE EURO 
14012059;18455689;18455689;S10134     SWAROVSKI  WATCH
10902952;10907315;10907315;K11011     KOLBER WATCHES 
16222233;28935154;28935154;V50909     VALENTINO Puig
15981116;10907559;10907559;G10036     GODIVA S.A. BELGIUM  
10902958;10907509;10907509;L10006     LONGCHAMP 
11713782;14919314;14919314;P11115     PORTOLANO
12489786;10907422;10907422;PR0001      PREMIER PORTFOLIO USD SKY  
16223620;44185424;44185424;I75666    KORLOFF Interlux
