SUP_NAME;DF_SUP_ID;DF_USD_ID;DP_SUP_ID;NAV_ID;ARI_DF_SUP_ID;ARI_DP_SUP_ID
NA;0;0;0;0;0;0
йнмяхцмюжхъ;27089534;27089534;14120281;0;0;0
E12345 ES.MOLECULES щярепй оюптчл;0;0;14122386;0;0;0
---;28551042;28551042;14323943;0;0;0
A0000006 юпуюмц OOO;0;0;11271174;0;0;0
A00004 ICS;0;0;10902882;0;0;0
A00005 ALFA PLUS;0;0;10902883;0;0;0
A00006 ART-BOOKS OOO;0;0;10902884;0;0;0
A00007 юкет рпеид ннн;0;0;11372511;0;0;0
A00012 юбюкнм рпеид;0;0;11690046;0;0;0
A00111 APC-FOUDS OOO;0;0;10902886;0;0;0
A01000 ALESER 000;0;0;10902887;0;0;0
A014660 ASGHARALI ESTERK;45124181;45124181;16223207;0;0;0
A10015 CAROLINA HERRERA PUIG;10907434;10907434;16157276;0;0;0
A11100 ART-ALYANCE ECO RBL;0;0;10902892;0;0;0
A11114 AVALANCHE;0;0;15205851;0;0;0
A11117 AVIATOR;0;0;15205854;0;0;0
A12000 юлюдеся;0;0;11450423;0;0;0
A14520 юкйн-лхп;0;0;11274573;0;0;0
A32111 AVANTA ELECTRONICS;28593085;28593085;15980835;O_SUP207;0;0
A33000 ARDEN LAGERFELD;0;0;11728840;0;0;0
A33315+ AEROBRIDGE OOO;24612378;24612378;15872568;0;0;0
A45698 ART ALLIANCE LTD;0;0;15963727;0;0;0
A65432 AVTOGRAF;45121100;45121100;16222300;0;0;0
A72508 юъйя-опеяя ннн;44809367;44809367;16192379;I_SUP010;0;0
A88881 юпхюл;0;0;16223492;0;0;0
AD00000 AF_DM;0;0;15929513;0;0;0
AEROFIRST_RBN;0;0;10902895;0;0;0
ARIAL;0;0;16135458;0;0;0
ART BAZAR GR;0;0;15407859;0;0;0
B000005 хрюкйнл;0;0;10902896;0;0;0
B00001 VASKO RBL;0;0;10902897;0;0;0
B00003 BEVERIDGIS AND TRAIDING;0;0;10902899;0;0;0
B00004 BAZA-4 ZAO;0;0;10902900;0;0;0
B00005 BELLIGEN TD;0;0;10902901;0;0;0
B0005 бпелемю цндю рд;0;0;11168902;0;0;0
B10000 TP BIRNS;0;0;10902903;0;0;0
B10001 BORALEX;0;0;10902904;0;0;0
B10027 ISSEY MIYAKI BPI;10907387;10907387;16222992;0;0;0
B10029 NARCISO RODRIGUES BPI;10908145;10908145;16222990;0;0;0
B54321 BYREDO ESTERK;45123746;45123746;16222849;0;0;0
BB55515 BETTY BARCLAY - едхмюъ ебпною;0;0;15054381;0;0;0
BPI;12143104;12143104;16223507;0;0;0
BR75321 BURBERRY BPI;43255913;43255913;16223562;0;0;0
BV10020 BOTTEGA VENETA;0;0;16223608;0;0;0
C00001 COCA-COLA USD;0;0;10902906;0;0;0
C00010 KC FUDS;0;0;10902907;0;0;0
C00012 кхмхъ вхмйсе OOO;0;0;10968807;0;0;0
C10000 CASIO 000;0;0;10902908;0;0;0
C15000 CHASPROMTORG ZAO;0;0;10902912;0;0;0
C27565 CHANEL PARFUMS;10907446;10907446;15913684;0;0;0
CA12345 C.AGUILERA - едхмюъ ебпною;0;0;14008009;0;0;0
CC00001 CLIVE CHRISTIAN ESTERK;45124180;45124180;16223206;0;0;0
CK11111 CK WATCHES;0;0;13934647;0;0;0
COTY;0;0;16223578;0;0;0
D00001 DENVIEW U.E.;0;0;10902913;0;0;0
D00002 DMITROV-ALKO OOO;0;0;10902914;0;0;0
D10000 дхкюм+ OOO;0;0;11003144;0;0;0
D10001 DENVIEW RBL;0;0;10902916;0;0;0
D10005 йщмдхкюим ннн;0;0;13530515;I_SUP148;0;0
D20030 DOLCE & GABBANA P&G;10922384;10922384;16222253;0;0;0
D50005 DEMOS-APS AOOT;0;0;10902918;0;0;0
D5005005 до-рпеид ннн;0;0;11715231;0;0;0
D67890 DAVIDOFF - едхмюъ ебпною;0;0;14008011;0;0;0
DE22222 DESIGUAL;45124149;45124149;15981558;0;0;0
DG10067 D&G WATCHES;0;0;11310611;0;0;0
DR5432 DE RIGO;10907358;10907358;16222279;0;0;0
E00001 APOLLO ELECTRONICS;0;0;10902919;0;0;0
E00003 INTERPRODUCT ZAO;0;0;10902921;0;0;0
E00004 ебпюяепбхя ннн;0;0;11163369;0;0;0
E00005 ELECTROCOMPROECT;0;0;10902922;0;0;0
E0002 UVELCOM OOO;0;0;10902924;0;0;0
E10022 ESCADA P&G;10907556;10907556;16222630;0;0;0
E11000 EVRAZIYA OOO;0;0;10902925;0;0;0
E33962 HUGO BOSS PARFUME;0;0;15644008;0;0;0
E33965 LACOSTE P&G;10907255;10907255;16222631;0;0;0
E55555 ESSE DP EURO;0;0;10924931;0;0;0
E77712 ESTER BIJOUX;0;0;15981401;0;0;0
ELIT BAGS GROUP;0;0;16222206;0;0;0
EN12355 ENNS;45120906;45120906;16222258;0;0;0
EN44567 ELECTRONIC NOVELTIES;44153565;44153565;16171437;0;0;0
ES12345 ELIE SAAB;0;0;16223564;0;0;0
ESTEE LAUDER GROUP;12580967;12580967;16223506;O_SUP113;0;0
ESTERK PARFUME;0;0;16222986;0;0;0
EXILITY;44514878;44514878;16165066;0;0;0
F11111 FANAGORIA TRADE HOUSE OOO;0;0;10902929;0;0;0
F11116 FABER CASTELL;0;0;15205853;0;0;0
F3333300 FOLLI FOLLIE WATCHES;0;0;11307070;0;0;0
F55545 FURLA;0;0;12309424;0;0;0
F55556 FOSSIL;0;0;15115888;0;0;0
F87654 FERAUD - едхмюъ ебпною;0;0;14425730;0;0;0
FER123 FERRERO;0;0;16222285;0;0;0
G00001 MASTER DISTRIBUTERS;0;0;10902930;0;0;0
G00002 GOLD GRAIL;0;0;10902931;0;0;0
G0001 GROSS OOO;0;0;10902932;0;0;0
G10000 GELEO OOO;0;0;10902933;0;0;0
G11110 MASTER DISTRIBUTERS RBL;0;0;10902934;0;0;0
G11111 GIVENCHY COUTURE RBN;0;0;10902935;0;0;0
G11112 GIVENCHY COUTURE EURO;0;0;10902936;0;0;0
G33322 GENERLUX TRADING S.A. DP;0;0;10902938;0;0;0
GS12334 GWEN STEFANI - едхмюъ ебпною;0;0;14165253;0;0;0
H10053 HERMES;0;0;16223502;0;0;0
I00001 AGROS-EKO;0;0;10902939;0;0;0
I00003 COSMOPOLITAN COSMETICS;0;0;10902941;0;0;0
I22222 ISA SPA DP RBN;0;0;10915168;0;0;0
I75666 KORLOFF INTERLUX;44185424;44185424;16152906;0;0;0
I98765 SILLAGE INTERLUX;42520715;42520715;15948027;0;0;0
IMPORT;0;0;16222663;0;0;0
INTERLUX;44185423;44185423;16152905;0;0;0
INTERLUX 2;45125269;45125269;16223617;0;0;0
J00001 JANEKE;0;0;13672184;0;0;0
J20060 JULES DESTROOPER;10907208;10907208;15971592;0;0;0
J22345 JUILETTE HAS A GUN ESTERK;27146387;27146387;16223208;0;0;0
J99999 JSL TRADING AG;28840119;28840119;15601393;O_SUP010;0;0
JR12345 JOHN RICHMOND;0;0;14030217;0;0;0
K00001 йпюямши нйръапэ;0;0;10902944;0;0;0
K00009 KENZO JEW DP EURO;0;0;10902946;0;0;0
K0001 KENZO SILVER;0;0;11852187;0;0;0
K01110 HERMITAGE SKY;0;0;10902947;0;0;0
K10001 HERMITAGE EURO;0;0;10902949;0;0;0
K11111 йюгслъм;0;0;10902951;0;0;0
K15973 KEIKO MECHERI INTERLUX;45125117;45125117;16223539;0;0;0
K44455 KOLBER WATCHES;0;0;10902952;0;0;0
K55545 KILIAN ESTERK;45123748;45123748;16222847;0;0;0
K555544 KEEL TOYS;0;0;15481433;0;0;0
K55555 йнпнмю ннн;0;0;13477160;0;0;0
K56999 йюяйюд OOO;0;0;11039767;0;0;0
K66666 KONFAEL.JCS;0;0;0;0;0;0
K99999 KENZO JEW DP RBL;0;0;10902953;0;0;0
KM12389 KEIKO MICHERY (кюйьепх);45125409;45125409;16223662;0;0;0
KM22230 KEIKO MECHERI INTERLUX 2;45125274;45125274;16223622;0;0;0
KO15151 йнмхй ннн;0;0;14080114;0;0;0
KONIC GR;0;0;15357422;0;0;0
KZ55555 ERCI;0;0;15981417;0;0;0
L'OREAL LUX GROUP;0;0;14877652;0;0;0
L10006 LONGCHAMP;10907509;10907509;16222232;0;0;0
L10019 MARC JACOBS COTY;19259440;19259440;16223588;0;0;0
L11000 келю-йнп OOO;0;0;11075402;0;0;0
L11111 LONGCHAMP;0;0;10902958;0;0;0
L12222 LINDT;10907318;10907318;15828970;0;0;0
