GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122145;1 TOY                          ;16223292;1 TOY                          ;;1 TOY                          
45125472;12 PARFUMERS                   ;16223710;12 PARFUMERS                   ;B01491            ;12 PARFUMERS                   
;A.BANDERAS                     ;16222688;A.BANDERAS                     ;;A.BANDERAS                     
45123613;A.V. JEWELRY OF NY             ;;A.V. JEWELRY OF NY             ;A.V. JEWELRY OF NY;A.V. JEWELRY OF NY             
45125963;ABERFELDY                      ;;ABERFELDY                      ;;ABERFELDY                      
45122146;ABERLOUR                       ;;ABERLOUR                       ;ABERLOUR          ;ABERLOUR                       
45122877;ABLE STAR                      ;;ABLE STAR                      ;;ABLE STAR                      
45123499;ABRAU-DURSO                    ;;ABRAU-DURSO                    ;;ABRAU-DURSO                    
45125161;ABSENTE 55                     ;;ABSENTE 55                     ;;ABSENTE 55                     
45122147;ABSOLUT                        ;;ABSOLUT                        ;ABSOLUT           ;ABSOLUT                        
45122355;ADIDAS                         ;;ADIDAS                         ;ADIDAS            ;ADIDAS                         
45122284;AFTER_8                        ;;AFTER_8                        ;AFTER_8           ;AFTER_8                        
45122518;AGATHA                         ;16223114;AGATHA                         ;B00827            ;AGATHA                         
45122412;AGATHA RUIZ DE LA PRADA        ;;AGATHA RUIZ DE LA PRADA        ;DE_LA_PRADA       ;AGATHA RUIZ DE LA PRADA        
;AGENT PROVOCATEUR              ;16222691;AGENT PROVOCATEUR              ;B01426            ;AGENT PROVOCATEUR              
45125523;AGENT18                        ;16223720;AGENT18                        ;AGENT18           ;AGENT18                        
45125191;AGONIST                        ;;AGONIST                        ;;AGONIST                        
45122810;AIR HOGS                       ;16223293;AIR HOGS                       ;MAXI TOYS         ;AIR HOGS                       
45124636;AJ ARABIA                      ;;AJ ARABIA                      ;B01473            ;AJ ARABIA                      
45124189;AJMAL                          ;16223213;AJMAL                          ;B01467            ;AJMAL                          
45122414;AKG                            ;;AKG                            ;AKG               ;AKG                            
45125536;ALAIA                          ;16223793;ALAIA                          ;B01493            ;ALAIA                          
45122845;ALCOM ACTIVE                   ;;ALCOM ACTIVE                   ;;ALCOM ACTIVE                   
45122555;ALEXANDER MCQUEEN              ;;ALEXANDER MCQUEEN              ;;ALEXANDER MCQUEEN              
45123571;ALEXANDRE J                    ;16222784;ALEXANDRE J                    ;B01457            ;ALEXANDRE J                    
45123612;ALFA-ALYANCE                   ;;ALFA-ALYANCE                   ;;ALFA-ALYANCE                   
;ALVIERO MARTINI                ;16222689;ALVIERO MARTINI                ;ALVIERO MARTINI   ;ALVIERO MARTINI                
45123573;ALYSON OLDOINI                 ;16222785;ALYSON OLDOINI                 ;B01458            ;ALYSON OLDOINI                 
45122291;AMARULA                        ;;AMARULA                        ;AMARULA           ;AMARULA                        
45122185;AMBER                          ;;AMBER                          ;AMBER             ;AMBER                          
45122443;AMOUAGE                        ;16222664;AMOUAGE                        ;AMOUAGE           ;AMOUAGE                        
45125758;ANGRY BIRDS                    ;;ANGRY BIRDS                    ;;ANGRY BIRDS                    
45122688;ANNA CLUB PLUSH                ;;ANNA CLUB PLUSH                ;;ANNA CLUB PLUSH                
45124870;ANTICA MURRINA                 ;;ANTICA MURRINA                 ;;ANTICA MURRINA                 
45124869;ANTWERP DESIGN                 ;;ANTWERP DESIGN                 ;;ANTWERP DESIGN                 
45123170;APEROL                         ;;APEROL                         ;APEROL            ;APEROL                         
45123501;AQUA                           ;;AQUA                           ;AQUA              ;AQUA                           
45122697;ARARAT                         ;;ARARAT                         ;ARARAT            ;ARARAT                         
45123322;ARCOROS                        ;;ARCOROS                        ;B01454            ;ARCOROS                        
45122374;ARDBEG                         ;;ARDBEG                         ;ARDBERG           ;ARDBEG                         
45123976;ARMANI                         ;16222693;ARMANI                         ;ARMANI            ;ARMANI                         
45124573;ARMANI_EMP                     ;;ARMANI_EMP                     ;ARMANI_EMP        ;ARMANI_EMP                     
45124571;ARMANI_GIO                     ;;ARMANI_GIO                     ;ARMANI_GIO        ;ARMANI_GIO                     
45123725;ART LAIN                       ;;ART LAIN                       ;ART LAIN          ;ART LAIN                       
;ARTSHAVING                     ;16223252;ARTSHAVING                     ;;ARTSHAVING                     
45122565;ARTURO FUENTE                  ;;ARTURO FUENTE                  ;ART_FUENTE        ;ARTURO FUENTE                  
45124183;ASGHARALI                      ;16223210;ASGHARALI                      ;B01466            ;ASGHARALI                      
45124214;ASHFORD                        ;;ASHFORD                        ;;ASHFORD                        
45125583;ASI                            ;16223740;ASI                            ;;ASI                            
;ATKINSONS                      ;16223788;ATKINSONS                      ;;ATKINSONS                      
45122834;AULDEY                         ;16223281;AULDEY                         ;;AULDEY                         
45122719;AURORA                         ;16223026;AURORA                         ;AURORA            ;AURORA                         
45122671;AUTOTIME                       ;;AUTOTIME                       ;B00842            ;AUTOTIME                       
45122771;AVALANCHE                      ;16223102;AVALANCHE                      ;;AVALANCHE                      
45124881;AVIATOR                        ;16223173;AVIATOR                        ;;AVIATOR                        
45122273;AVO                            ;;AVO                            ;AVO               ;AVO                            
45124033;AZZARO                         ;;AZZARO                         ;;AZZARO                         
45125133;B00999                         ;16223544;B00999                         ;                  ;B00999                         
45125127;B01097                         ;;B01097                         ;                  ;B01097                         
45125340;B01160                         ;;B01160                         ;                  ;B01160                         
45125384;B01265                         ;;B01265                         ;                  ;B01265                         
45125339;B01449                         ;;B01449                         ;                  ;B01449                         
45125721;B01464                         ;;B01464                         ;                  ;B01464                         
;B01499                         ;16223890;B01499                         ;                  ;B01499                         
45125884;B01508                         ;;B01508                         ;                  ;B01508                         
45125886;B01509                         ;;B01509                         ;                  ;B01509                         
45122150;BACARDI                        ;16223084;BACARDI                        ;BACARDI           ;BACARDI                        
;BAGGINI                        ;16223062;BAGGINI                        ;B01415            ;BAGGINI                        
45122187;BAILEYS                        ;16223082;BAILEYS                        ;BAILEYS           ;BAILEYS                        
45122636;BAILLAURY                      ;;BAILLAURY                      ;;BAILLAURY                      
