name;swsdfusdid;swsdfid;swsdpid;Vendor No_
A.R.I.;36939811;36939811;0;
A03333 AGATHA;32030763;32030763;15061294;
A10015 CAROLINA HERRERA PUIG;10907434;10907434;16157276;
A10016 ALFA-ALYANCE;10924088;10924088;0;
A10067 ART ALIANCE;10907241;10907241;0;AA_USA_LLC
A10067+ ART ALIANCE PLUS;10907342;10907342;0;
A10068+ ART ALIANCE RBN;10907343;10907343;0;
A10076 ART-BOOKS LTD;10907242;10907242;0;
A10076+ ART-BOOKS RBL;14278728;14278728;0;
A10118 INFIFON B.V.;10907184;10907184;0;
A10122 ARI-SHANNON EURO;10907436;10907436;0;
A11100 ARCOROS;10907289;10907289;0;I_SUP230
A11100 ART-ALYANCE ECO RBL;0;0;10902892;
A11117 AVIATOR;0;0;15205854;
A12000 юлюдеся;0;0;11450423;
A12345 OOO AUGUST GROUP;45124718;45124718;11254622;
A12600 лрй юкхяю гюн;45121034;45121034;16222265;I_SUP126
A20033 JOHN RICHMOND EUROITALIA;28446164;28446164;0;
A23456 юяр-хмрепмщьмк OOO;0;0;11269170;
A25555 CONSTELLATIONS BRANDS SCHENLEY INC;28142960;28142960;0;
A32111 AVANTA ELECTRONICS;28593085;28593085;15980835;O_SUP207
A33315+ AEROBRIDGE OOO;24612378;24612378;15872568;
A3400000 йнмярюмрхмнонкэяйюъ;0;0;12708724;
A44441 ннн юпнмю;0;0;16223683;
A44444+ AMADEUS;12922092;12922092;0;
A54321 ALLIED BRANDS;22424977;22424977;0;O_SUP484
A55552 юмрюпея;0;0;16223884;
A55555 ннн йнлоюмхъ юккхцюрнп;0;0;16223425;I_SUP115
A65432 AVTOGRAF;45121100;45121100;16222300;
A72508 юъйя-опеяя ннн;44809367;44809367;16192379;I_SUP010
A75444 ярнкхвмши чбекхпмши гюбнд;0;0;16038988;
A77332 L'ATELIER;45121220;45121220;0;
A88881 юпхюл;0;0;16223492;
AAT00001 ART ALIANCE TRADING;0;0;16222230;
AB55555 юпр аюгюп;0;0;15347108;
AB9999+ AEROBRIDGE UNION;39373863;39373863;15861076;
AD12468 GREENFIELD INTERVEST LTD;42565954;42565954;0;
AE3333 AEGNA;0;0;16222218;
AEROFIRST;10924118;10924118;0;
AHK111 HELLO KITTY ARIAL;0;0;16223048;
AJ00001 AJMAL;45124188;45124188;0;
AJ5545 ALEXANDRE J лхмхсл;45123556;45123556;16222783;
AL55111 ALAIA BPI;45125537;45125537;16223792;
AL55544 юкэ рпеид;0;0;16223429;
AL88888 MASTER SERVICE COMPANY;33547545;33547545;0;
AM10001 A.MARTINI пхьщя;0;0;15233565;
AN2014 ARIAL(SOCHI / NOVOSIBIRSK);0;0;16223067;
AO12345 ALYSON OLDOINI INTERLUX 2;45125271;45125271;0;
AP 12345 AGENT PROVOCATEUR-едхмюъ ебпною;0;0;15640999;
AR10016 AGATHA RUIZ DE LA PRADA PUIG;21046073;21046073;16223624;
AS23456 THE ART OF SHAVING;31862246;31862246;0;
AS33354 ASHFORD;45124219;45124219;0;
ASHFORD;45126191;45126191;0;O_SUP668
ASI412 ASI OOO;45125582;45125582;16223739;
B00002 BONA CONFECTIONARY ZAO;0;0;10902898;
B10001 BARAKA JEW - GENERLUX;10907346;10907346;0;
B10027 ISSEY MIYAKI BPI;10907387;10907387;16222992;
B10028 JEAN PAUL GAUTIER BPI;10907293;10907293;0;
B10029 NARCISO RODRIGUES BPI;10908145;10908145;16222990;
B10044 BROWN FORMAN BEVERAGE;10907440;10907440;0;O_SUP485
B10062 BAUME & MERCIER SA;10907244;10907244;0;
B10080 BLAVOD DRINKS LTD;10907547;10907547;0;
B10081 BORIE-MANOUX WINES;10907388;10907388;0;O_SUP488
B11115 BALMAIN WATCH;10907185;10907185;0;O_SUP209
B11555 BONA 000;18666543;18666543;12499656;
B1212345 ахц рпщид ннн;0;0;13534474;
B13578 BVLGARY - едхмюъ ебпною;0;0;14008192;
B14270 апюгхя кнцхярхй;0;0;16223699;I_SUP406
B14673 BIOTHERM PBI;10907549;10907549;14348260;
B23456 BALDESSARINI -едхмюъ ебпною;0;0;14030123;
B33333 BELVEDERE;28366568;28366568;0;
B34567 BOSS - едхмюъ ебпною;0;0;14008004;
B51551 BISQUIT COGNAC;30663658;30663658;0;O_SUP492
B54321 BYREDO ESTERK;45123746;45123746;16222849;
B55555 аеметхр;0;0;16222627;
B56789 BOBBY BROWN;0;0;15980829;
B68701 BACARDI GMBH;11381585;11381585;0;
B87452 BRIC'S;0;0;16150193;
B99911 BAIKAL JSL;45120829;45120829;0;
B99999 BIOTHERM SKY;0;0;13672106;
BB55515 BETTY BARCLAY - едхмюъ ебпною;0;0;15054381;
BE56565 BEGEMOT;45120899;45120899;0;
BEST WINE;45125713;45125713;0;
BIK1113 OOO BIK;45124232;45124232;16223339;
BR00005 BROSWAY;0;0;15979121;
BR75321 BURBERRY BPI;43255913;43255913;16223562;
BS55545 BODY SHOP;43252561;43252561;16222668;
BV12399 BVLGARY;28479158;28479158;0;
C00002 я-2 тхплю OOO;0;0;11076376;
C00005 ябй рд гюн;0;0;11041678;
C02376 DAVID CAMPARI;10907350;10907350;0;
C05723 CAMUS INTERNATIONAL;10907391;10907391;0;O_SUP496
C100006 CARAN D'ARCHE;10907352;10907352;0;
