NAV_CODE;GLOSSARY_ID_DF;GLOSSARY_ID_DP;NAME
A.BANDERAS               ;0;0;A.BANDERAS               
A_SOLAR;0;0;A_SOLAR
B00821;0;0;ABBYY
B00823;0;0;ACTIVE CRYSTALS
B00825;0;0;AEON
AFISHA;0;0;AFISHA
B00828;0;0;ALEXANDER GRAPPOLO
B00830;0;0;AMBASSADORS CHOICE
AMBREA;0;0;AMBREA
AMICELLI;0;0;AMICELLI
B00831;0;0;AMPHORA
ANGUILLA;0;0;ANGUILLA RUMS LTD
B00834;0;0;ANTHON BERG
ARAMIS;0;0;ARAMIS
ARTSHAVING        ;0;0;ARTSHAVING               
ART_FUENTE;0;0;ARTURE FUENTE
B01469;0;0;ASH- ASHFORD HANDELS GMBH
B00841;0;0;AUSINI
B01169;0;0;B01173
B01383;0;0;B01383
B01384            ;0;0;B01384                   
B01397            ;0;0;B01397                   
B01397            ;0;0;B01397                   
B01397            ;0;0;B01397                   
B01398            ;0;0;B01398                   
B01399            ;0;0;B01399                   
B01400            ;0;0;B01400                   
B01401;0;0;B01401
B01403;0;0;B01403
B01409            ;0;0;B01409                   
B01409            ;0;0;B01409                   
B01409            ;0;0;B01409                   
;0;0;B01499                   
BALL_F;0;0;BALLANTINES FINEST
BALL_G;0;0;BALLANTINES GOLD
BALL_M;0;0;BALLANTINES MALT
BANDAI            ;0;0;Bandai                   
BAR PRODUCT       ;0;0;BAR PRODUCT              
BARBARA;0;0;BARBARA
BARON;0;0;BARON
BARTLY;0;0;BARTLY
BASSETTS;0;0;BASSETS
DR_DRE;0;0;BEATS BY DR.DRE
BECCA;0;0;BECCA
BEEFEATER;0;0;BEEFEATER
BLISS;0;0;BLISS
BLUHMOD;0;0;BLUHMOD
B00860;0;0;BOLGHERI
BOMB_SAPH;0;0;BOMBAY SAPHIRE
BORDER;0;0;BORDER BISCUITS
B01412            ;0;0;BOURJOIS                 
BOWMORE;0;0;BOWMORE SCOTCH
BREITLING;0;0;BREITLING
B00872;0;0;BUDWEISER
CABERNE;0;0;CABERNE
CABERNET;0;0;CABERNET
CADBURY;0;0;CADBURY
CAILLER;0;0;CAILLER
CAMEL;0;0;CAMEL
B01501;0;0;CARAN D'ACHE
B01442            ;0;0;Carner Barcelona         
C_HERRERA;0;0;CAROLINA HERRERA
B00885;0;0;CARRUADES DE LAFITE
B00888;0;0;CASTILIO DE JAVIER
B00889;0;0;CASTILLO DE OLITE
CAVALLI;0;0;CAVALLI
CAVALLI_R;0;0;CAVALLI_ROBERTO
B01417;0;0;CEDC
CELINE;0;0;CELINE
B00891;0;0;CELLCOSMET&CELLMEN
B00893;0;0;CENTAUR
CHABOT;0;0;CHABOT
CHAPELLE;0;0;CHAPELLE
CHARDONE;0;0;CHARDONE
CHARDONNAY;0;0;CHARDONNAY
CHATEAU;0;0;CHATEAU
B00901;0;0;CHATEAU BOIS JOLY
B00908;0;0;CHATEAU DES BELLES GRAVES
B00916;0;0;CHATEAU LE BARRAIL
B00935;0;0;CHRISTIAN DIOR
B00936;0;0;CHRISTIAN LACROIX
CHRONOSWISS;0;0;CHRONOSWISS
B00938;0;0;CIRCUS FASHION
CELEBRAT;0;0;CLA MERELEBRATIONS
B00940;0;0;CLAUSTHALER
CLOUDZ;0;0;CLOUDZ TRAVEL ACCESSORIES
C_PARTEGAS;0;0;CLUB-PARTEGAS
CONCORD;0;0;CONCORD
CONDE;0;0;CONDE
CORONAS;0;0;CORONAS
CORUM;0;0;CORUM
CREED;0;0;CREED
B00948;0;0;CROIX DE PEZ
C_REY;0;0;CUESTA REY
D_G;0;0;D&G
D_ROTH;0;0;D_ROTH
DAILRADE;0;0;DAILRADE GUNTVE À»“Œ¬  ≈–¿Ã» ¿
DAIM;0;0;DAIM
DANZIGER;0;0;DANZIGER
B01413;0;0;DAVIDOFF COG
DE'LUNA;0;0;DE'LUNA
DOMAINE;0;0;DOMAINE
D_SENECHAUX;0;0;DOMAINE DES SENECHAUX
DKNY;0;0;DONNA KARAN NEW YORK
DRUM;0;0;DRUM
DSQUARED2;0;0;DSQUARED2
B00967;0;0;DUBLISS
DUBONNET;0;0;DUBONNET
B00972;0;0;EFFECT
E.ARDEN;0;0;ELIZABETH ARDEN
B00975;0;0;EMILIO PUCCI
ETRO;0;0;ETRO
EVE;0;0;EVE
B01490            ;0;0;EXELLANCE MOSCOW         
EXPRESSION;0;0;EXPRESSION
F.A.GIOELLI;0;0;F.A.GIOELLI
B00983            ;0;0;FABER CASTELL            
FALCA;0;0;FALCA
FERAUD            ;0;0;FERAUD                   
FERRE;0;0;FERRE
FLAGMAN;0;0;FLAGMAN
B00988            ;0;0;FOLLI FOLLIE             
FOSSIL;0;0;FOSSIL
B00991;0;0;FRANCESCO SMALTO
FRANGELICO;0;0;FRANGELICO
                  ;0;0;G CAPULETTI              
G_GARIOCH;0;0;G_GARIOCH
GALAXY;0;0;GALAXY DEFENDER
GAMUCCI;0;0;GAMUCCI
GAULOISE;0;0;GAULOISE
GEMTIQUE;0;0;GEMTIQUE
G_GENTA;0;0;GERALD GENTA
B00996;0;0;GEVREY
G_F_FERRE;0;0;GIANFRANCO FERRE
GIORGIO FEDON     ;0;0;GIORGIO FEDON            
B01003;0;0;GOKANKOBO
GOLDBERGER;0;0;GOLBERGER
GOLDKENN;0;0;GOLDKENN
GOLDLOK;0;0;GOLDLOK
GRAFIX;0;0;GRAFIX
GRAPPA;0;0;GRAPPA
B01011;0;0;GUY LAROCHE
HARIBO;0;0;HARIBO
HAUSBRANDT;0;0;HAUSBRANDT
HAVAIANAS;0;0;HAVAIANAS
HAV;0;0;HAVAINAS
HEINEKEN;0;0;HEINEKEN
HENDRICKS;0;0;HENDRICKS
HERPA;0;0;HERPA
HERRADURA;0;0;HERRADURA
HD;0;0;HOT DIAMONDS
B01406;0;0;INVERNI SRL
B01029;0;0;IRISH CREATIVE
B01030;0;0;IRISH DRESDEN
B01031;0;0;ISE WATCH
IWC;0;0;IWC
B01032;0;0;J.F.FERRE
B01411;0;0;J.GALLIANO
B01434;0;0;JACOB & CO
JLC;0;0;JAEGER LE COULTER
B01037;0;0;JAKKS
J_RICHARD;0;0;JEAN RICHARD
J_SANDER;0;0;JIL SANDER
J_CHOO;0;0;JIMMY CHOO
JLO;0;0;JLO
B01043            ;0;0;JOHN RICHMONT            
JV;0;0;JOHN VARVATOS
B01045;0;0;JOHNNIE WALKER
B01044;0;0;JOHNNIE WALKER
B01046;0;0;JOICE FURS
JOLI;0;0;JOLI
JPG;0;0;JPG
;0;0;JV                       
JWB;0;0;JW BLACK
JWM;0;0;JW MALT
KAHLUA;0;0;KAHLUA
KALOO;0;0;KALOO
KAMCHADAL;0;0;KAMCHADAL
B01472            ;0;0;Kenneth Cole             
B01052;0;0;KENSINGTON
B01499            ;0;0;KESSLORD                 
B01053;0;0;KIDZ TECH
B01055;0;0;KILLER LOOP
KIMMI             ;0;0;KIMMI                    
KING_EDW;0;0;KING_EDW
B01062;0;0;KINGSTON
                  ;0;0;KIPLING ( »œÀ»Õ√)        
B01423            ;0;0;Kondi                    
KONFAEL;0;0;KONFAEL
KRUSELL;0;0;KRUSELL
B01069;0;0;LA CROIX DE CHENE
LA_PERLA;0;0;LA PERLA
LADOGA;0;0;LADOGA
B01076;0;0;LAFITE ROTHSCHILD
LAMARTHE          ;0;0;LAMARTHE                 
B01475            ;0;0;LAMBORGHINI              
L_GIN;0;0;LARIOS GIN
LAROCHE;0;0;LAROCHE
B01089;0;0;LES ENFANTS TERRIBLES
LITTLE TIKES      ;0;0;LITTLE TIKES             
LLORENS;0;0;LLORENS
LOGITECH;0;0;LOGITECH
B01095;0;0;LOLITA LEMPICKA
B01097;0;0;LONGINES - 143
LOZZA;0;0;LOZZA
MBLANC            ;0;0;M.BLANC                  
;0;0;MADARA                   
B01102;0;0;MAGCLIKS
M_MARK;0;0;MAKER'S MARK
B01111;0;0;MARC ROZIER
B01112;0;0;MARCO FANTINI
MJ;0;0;MARK JACOBS
MARMELANDIA;0;0;MARMELANDIA
B01115;0;0;MARQUES DE LA TOURETTE
B01492            ;0;0;MAX FACTOR               
                  ;0;0;MENDITTOROSA             
MERIT;0;0;MERIT
MERLOT;0;0;MERLOT
M_KORS;0;0;MICHAEL KORS
M_LYNCH;0;0;MICHEL LYNCH
MIDLETON;0;0;MIDLETON
B01486            ;0;0;MIMMINA FLOWER           
B01125            ;0;0;MISAKI                   
MONDO;0;0;MONDO MOTORS
MONELLA;0;0;MONELLA
MONK;0;0;MONK
B01500;0;0;MONTEGRAPPA
MOULIN;0;0;MOULIN
MOULINDESAINT;0;0;MOULIN DE SAINT
MOUNTAINS;0;0;MOUNTAINS
B01136;0;0;MOZART
MUMM;0;0;MUMM
NRODRIGUES;0;0;NARCISO RODRIGUES
;0;0;NARVIN                   
NIKE;0;0;NIKE
N_RICCI;0;0;NINA RICCI
NOMINATION;0;0;NOMINATION
B01502;0;0;OMAS
OVECHKIN;0;0;OVECHKIN
OXETTE;0;0;OXETTE
OXYDO;0;0;OXYDO
B01151;0;0;OXYGEN
B01503;0;0;PASSOTI
PATERNINA;0;0;PATERNI¿NA
PATONS;0;0;PATONS
PATRON;0;0;PATRON SPIRIT COMPANY
B01161;0;0;PAVILLON
PECCATO;0;0;PECCATO ORIGINAL
PEPE_LOPES;0;0;PEPE LOPES
PIAGET;0;0;PIAGET
PINKY;0;0;PINKY VODKA
P_CARDS;0;0;PLAYING CARDS
B01175;0;0;PLAYMATES
B01179;0;0;PONTET
POROG;0;0;POROG
PORSCHE;0;0;PORSCHE DESIGN
PRADA_SP;0;0;PRADA_SPORT
PREMIER;0;0;PREMIER PORTFOLIO
B01422;0;0;PRINCIPE
PULPY;0;0;PULPY
PUTINKA;0;0;PUTINKA
GUDO;0;0;QUDO
QUIKSILVER;0;0;QUIKSILVER
RADLEY            ;0;0;RADLEY                   
RAVENSBURGER;0;0;RAVENSBURGER (TIPTOI)
REGAL;0;0;REGAL
B01197;0;0;REMINGTON
RIGLI;0;0;RIGLI
RIMOWA;0;0;RIMOWA
RIOJA;0;0;RIOJA
B01203;0;0;ROBERTA DI CAMERINO
B01204;0;0;ROBERTO CAVALLI
RC;0;0;ROBERTO COIN
B00626;0;0;RODIAL
ROECKL;0;0;ROECKL
R_DUBUIS;0;0;ROGER DUBUIS
RONNEFELDT;0;0;RONNEFELDT
B01206;0;0;RORY'S STORY CUBES
R.B.R;0;0;ROUGE BUNNY ROUGE
ROXY;0;0;ROXY
B01432;0;0;RUNWAY BAG
RUS_DIAM;0;0;RUS_DIAMOND
RUSS_B;0;0;RUSS BERRIE
B01211;0;0;RUSSIAN DIAMOND
RS_GOLD;0;0;RUSSIAN STANDART GOLD
RS_IMPERIA;0;0;RUSSIAN STANDART IMPERIA
RS_ORIG;0;0;RUSSIAN STANDART ORIGINAL
RS_PLAT;0;0;RUSSIAN STANDART PLATINUM
KVASS;0;0;RUSSKYI DAR
B01212;0;0;SAGA FURS
B01213;0;0;SAINT BERNARD
ST_BREND;0;0;SAINT BRENDAN'S
B01214;0;0;SALEM
SALVADORD         ;0;0;SALVADORD                
S_FERRAGAMO;0;0;SALVATORE FERRAGAMO
SAMBUCA;0;0;SAMBUCA
SANDARA;0;0;SANDARA
SAUVIGNON;0;0;SAUVIGNON
SCAPA;0;0;SCAPA
B01222;0;0;SEAGRAM'S
S_GIN;0;0;SEAGRAMS GIN
B01224;0;0;SENORIO DE VAL
B01225;0;0;SENORIO DEL CONDESTABLE
SERAPHIN;0;0;SERAPHIN
SHABLOOL;0;0;SHABLOOL
SHARMEL;0;0;SHARMEL
SIGLO;0;0;SIGLO
B01229;0;0;SILK CUT
SIMPKINS;0;0;SIMPKINS
SKROSS;0;0;SKROSS
SMINT;0;0;SMINT
SNOWMEN;0;0;SNOWMEDN
STARBROOK;0;0;STARBROOK
ST_EXPR;0;0;STATE EXPRESS
B01239;0;0;STEAMCREAM
SH;0;0;STEFAN HAFNER
STM;0;0;STELLA MCCARTNEY
STETSON           ;0;0;STETSON                  
STIMOROL;0;0;STIMOROL
STING;0;0;STING
B01241;0;0;STORK
STRATHISLA;0;0;STRATHISLA
B01242;0;0;STREAMLINE
SULA;0;0;SULA
SUPERKINGS;0;0;SUPERKINGS
“≈’ÕŒœ¿– ;0;0;TECHNOPARK
TESORO;0;0;TESORO
MUGLER;0;0;THIERRY MUGLER
B01259;0;0;THOMSON
B01264;0;0;TOLO TOYS
TOMASSINI;0;0;TOMASSINI
TRADITION;0;0;TRADITION BACCARAT
TRI;0;0;TRAVEL RETAIL INNOVATIONS
TRUSSARDI;0;0;TRUSSARDI
TSARSKAYA;0;0;TSARSKAYA VODKA
B01277;0;0;TUBORG
T_DEW;0;0;TULLAMORE DEW
B01279;0;0;U.UPMANN
U-BOAT;0;0;U-BOAT
UNDERBERG;0;0;UNDERBERG
UNEEDA;0;0;UNEEDA
B01281;0;0;UNISET
B01474            ;0;0;Valentino Orlandi        
;0;0;VAN CLEEF                
B01285;0;0;VAN SLOOTEN
VEDA;0;0;VEDA
B01286;0;0;VEGAS ROBAINA
VERTU;0;0;VERTU
V_R;0;0;VICTOR&ROLF
B01289;0;0;VICTORINOX SWISS ARMY
VILEBREQUIN;0;0;VILEBREQUIN
B01291;0;0;VILLA BOLGHERE
V_DUDKA;0;0;VODKA DUDKA
V_DVOIN_ZOLOT;0;0;VODKA DVOINAYA ZOLOTAYA
V_KRISTALL;0;0;VODKA KRISTALL
B01296;0;0;VOLNAY CARALLES
WEB;0;0;WEB
B01299;0;0;WILD PLANET
WINE;0;0;WINE - LVMH
B01300;0;0;WINX CLUB
WRIGLEY;0;0;WRIGLEY
WRIGLEY`S;0;0;WRIGLEY`S
WYLER;0;0;WYLER
Y_DOLG;0;0;Y_DOLG
YA;0;0;YA
YSL;0;0;YVES SAINT LAURENT
ZACAPA;0;0;ZACAPA
ZAPF              ;0;0;ZAPF                     
ZEST              ;0;0;ZEST                     
B01407;0;0;¿¡–¿” ƒﬁ–—Œ
B01497;0;0;¿–“ œ–≈Ã‹≈–
B01311;0;0;¿—“Œ–»ﬂ
VENUS;0;0;¬≈Õ≈–¿
B01316;0;0;¬≈–ÕŒ—“‹  ¿◊≈—“¬”
B01408;0;0;¬» “Œ– ƒ–¿¬»Õ‹»
¬»““≈À‹;0;0;¬»““≈À‹
GEORGIA;0;0;√–”«»ﬂ
ƒ€ÃŒ¬;0;0;ƒ€ÃŒ¬
ALEXANDRE.J;0;0;«¿ƒ¬Œ≈ÕÕ€… ¡–≈Õƒ
ZVEZDA;0;0;«¬≈«ƒ¿
B01323;0;0;«≈À≈Õ¿ﬂ Ã¿– ¿
B01510;0;0;» –¿.–” ‘”ƒ—≈–¬»—
STROCHKOV;0;0;»œ —“–Œ◊ Œ¬
 ¿–¿–¿Ã¿;0;0; ¿–¿–¿Ã¿
B01332;0;0; –¿—ÕŒ≈ «ŒÀŒ“Œ
B01333;0;0; –¿—Õ€… Œ “ﬂ¡–‹
B01335;0;0; –”“€≈ ¡Œ¡€
Ã¿»—“Œ;0;0;Ã¿»—“Œ
Ã¿–—;0;0;Ã¿–—
MOJITO;0;0;ÃŒ’»“Œ
MSTERA;0;0;Ã—“≈–¿
B01344;0;0;Ã”À‹“» œ”À‹“»
B01349;0;0;Œ—“-¿À Œ
PPM;0;0;œ¿¬ÀŒ¬ŒœŒ—¿ƒ— ¿ﬂ Ã¿Õ”‘¿ “”–¿
B01350;0;0;œ¿¬ÀŒ¬ŒœŒ—¿ƒ— »… œÀ¿“Œ 
œŒ –Œ¬— »…;0;0;œŒ –Œ¬— »… œ–ﬂÕ» 
B01355;0;0;œŒÀ»“ŒÕ
œŒ—”ƒ¿;0;0;œŒ—”ƒ¿
B01361;0;0;–”—— »… ¡–»ÀÀ»¿Õ“
RUSCAVHOUSE;0;0;–”—— »… » Œ–Õ€… ƒŒÃ
B01363;0;0;–”—— »… —“¿Õƒ¿–“
B01365;0;0;—≈¬≈–Œ-¬Œ—“Œ◊Õ¿ﬂ  ŒÃœ¿Õ»ﬂ —¬ 
B01367;0;0;—Ã≈ÿ¿–» »
B01368;0;0;—Œﬁ«
B01371;0;0;—“≈œ œ¿«À
—“»‘;0;0;—“»‘
UMKA;0;0;”Ã ¿
B01374;0;0;”Ã ¿
‘¿¡≈–∆≈;0;0;‘¿¡≈–∆≈
FEDOSKINO;0;0;‘≈ƒŒ— »ÕŒ
B01377;0;0;’Œ’ÀŒÃ¿
B01381;0;0;ÿ¬≈œ—
B01382;0;0;ÿ”—“Œ¬
B01498;0;0;›—“≈“
B01506;0;0;ﬁ¬≈Àﬁ —
ﬂ–Œ—À¿¬Õ¿;0;0;ﬂ–Œ—À¿¬Õ¿
B01444;0;0;ﬂ–Œ—À¿¬Õ¿
