DP_SUP_ID;DF_USD_ID;DF_SUP_ID;NAVID;SUP_NAME
14323943;28551042;28551042;0;---
0;36939811;36939811;0;A.R.I.
0;10907183;10907183;0;A.R.I. OLD
11271174;0;0;0;A0000006 юпуюмц OOO
10902882;0;0;0;A00004 ICS
10902883;0;0;0;A00005 ALFA PLUS
10902884;0;0;0;A00006 ART-BOOKS OOO
11372511;0;0;0;A00007 юкет рпеид ннн
11690046;0;0;0;A00012 юбюкнм рпеид
10971590;0;0;0;A00100 щланпц
10902886;0;0;0;A00111 APC-FOUDS OOO
10902887;0;0;0;A01000 ALESER 000
16223207;45124181;45124181;0;A014660 ASGHARALI ESTERK
15061294;32030763;32030763;0;A03333 AGATHA
0;10924100;10924100;0;A10012 ALFRED DUNHILL GMBH
16157276;10907434;10907434;0;A10015 CAROLINA HERRERA PUIG
0;10924088;10924088;0;A10016 ALFA-ALYANCE
0;10907286;10907286;0;A10018 ALFRED DUNHILL P&G
0;10924078;10924078;0;A10025 ALMAX
0;10907288;10907288;0;A10044 GLOBAL PROMOTIONAL SE
0;10907435;10907435;0;A10060 ABSOLUT CO
0;10907241;10907241;0;A10067 ART ALIANCE
0;10907342;10907342;0;A10067+ ART ALIANCE PLUS
0;10907343;10907343;0;A10068+ ART ALIANCE RBN
0;10907546;10907546;0;A10073 TIGER ELECTRONICS USD
0;10907242;10907242;0;A10076 ART-BOOKS LTD
0;14278728;14278728;0;A10076+ ART-BOOKS RBL
0;10924110;10924110;0;A10080 AMKA OY/AB
0;10907344;10907344;0;A10096 RUSSIAN SPIRIT GROUP
0;10907184;10907184;0;A10118 INFIFON B.V.
0;10907436;10907436;0;A10122 ARI-SHANNON EURO
0;10924115;10924115;0;A10200 AGROSECO
0;10907289;10907289;0;A11100 ARCOROS
10902892;0;0;0;A11100 ART-ALYANCE ECO RBL
0;10907345;10907345;0;A11112 ART-BOOKS
15205851;0;0;0;A11114 AVALANCHE
15205854;0;0;0;A11117 AVIATOR
11450423;0;0;0;A12000 юлюдеся
0;10907437;10907437;0;A12224 FINLANDIA VODKA - BF
11254622;45124718;45124718;0;A12345 OOO AUGUST GROUP                                                                             
16222265;45121034;45121034;I_SUP126;A12600 лрй юкхяю гюн   
0;37248649;37248649;0;A13970 ARK BELUGA OOO
11274573;0;0;0;A14520 юкйн-лхп
0;10917382;10917382;0;A20008 ANTICA MURRINA SKY
0;28446164;28446164;0;A20033 JOHN RICHMOND Euroitalia
0;22341022;22341022;0;A21234 AST
11269170;0;0;I_SUP003;A23456 юяр-хмрепмщьмк OOO
0;28142960;28142960;0;A25555 CONSTELLATIONS BRANDS SCHENLEY INC
15980835;28593085;28593085;O_SUP207;A32111 AVANTA ELECTRONICS
