SUPPLIER_ID;SUP_NAME
 14120281;   ŒÕ—»√Õ¿÷»ﬂ                                                                                       
 14122386; E12345   ES.MOLECULES ›—“≈–  œ¿–‘ﬁÃ                                                                
 11271174;A0000006   ¿–’¿Õ√ OOO                                                                               
 10902882;A00004       ICS                                                                                    
 10902883;A00005       ALFA PLUS                                                                              
 10902884;A00006       ART-BOOKS OOO                                                                          
 11372511;A00007       ¿À≈‘ “–≈…ƒ ŒŒŒ                                                                         
 11690046;A00012       ¿¬¿ÀŒÕ “–≈…ƒ                                                                           
 10971590;A00100       ›Ã¡Œ–√                                                                                 
 10902886;A00111       APC-FOUDS OOO                                                                          
 10902887;A01000       ALESER 000                                                                             
 16157276;A10015    CAROLINA HERRERA PUIG                                                                     
 10902892;A11100       ART-ALYANCE  ECO RBL                                                                   
 15205851;A11114   AVALANCHE                                                                                  
 15205854;A11117    AVIATOR                                                                                   
 11450423;A12000       ¿Ã¿ƒ≈”—                                                                                
 11254622;A12345       √–”œœ¿ ¿¬√”—“                                                                          
 16222265;"A12600    «¿Œ ""Ã“  ¿À»—¿""                                                                           "
 11274573;A14520       ¿À Œ-Ã»–                                                                               
 15980835;A32111  AVANTA ELECTRONICS                                                                          
 11728840;A33000    ARDEN LAGERFELD                                                                           
 15872568;A33315+    AEROBRIDGE OOO                                                                           
 16223683;A44441   ŒŒŒ ¿–ŒÕ¿                                                                                  
 15963727;A45698       ART ALLIANCE LTD                                                                       
 16223425;"A55555    ŒŒŒ"" ŒÃœ¿Õ»ﬂ ¿ÀÀ»√¿“Œ–""                                                                   "
 16222300;A65432      AVTOGRAF                                                                                
 16192379;A72508       ¿ﬂ —-œ–≈—— ŒŒŒ                                                                         
 16223492;A88881 ¿–»¿Ã                                                                                        
 15861076;AB2222+ AEROBRIDGE UNION                                                                            
 15929513;AD00000   AF_DM                                                                                     
 10902895;AEROFIRST_RBN                                                                                       
 15061294;AG55511    AGATHA                                                                                   
 16222783;AJ5545    ALEXANDRE J MINIUM                                                                        
 16223619;AO12345  ALYSON OLDOINI INTERLUX 2                                                                  
 16135458;ARIAL                                                                                               
 15407859;ART BAZAR GR                                                                                        
 12499656;B0000003   ¡ŒÕ¿ ŒŒŒ                                                                                 
 10902896;B000005     »“¿À ŒÃ                                                                                 
 10902897;B00001       VASKO RBL                                                                              
