supplier_id;name;swsdfid;swsdpid
0;NA;0;0
13;A10015 CAROLINA HERRERA PUIG;10907434;16157276
14;A11100 ART-ALYANCE ECO RBL;0;10902892
16;A11117 AVIATOR;0;15205854
17;A12000 юлюдеся;0;11450423
19;A32111 AVANTA ELECTRONICS;28593085;15980835
21;A33315+ AEROBRIDGE OOO;24612378;15872568
23;A65432 AVTOGRAF;45121100;16222300
24;A72508 юъйя-опеяя ннн;44809367;16192379
25;A88881 юпхюл;0;16223492
42;B10027 ISSEY MIYAKI BPI;10907387;16222992
43;B10029 NARCISO RODRIGUES BPI;10908145;16222990
49;B54321 BYREDO ESTERK;45123746;16222849
50;BB55515 BETTY BARCLAY - едхмюъ ебпною;0;15054381
52;BR75321 BURBERRY BPI;43255913;16223562
59;C27565 CHANEL PARFUMS;10907446;15913684
61;C33331 CLARINS;0;15418168
71;D10005 йщмдхкюим ннн;0;13530515
72;D20030 DOLCE & GABBANA P&G;0;16222253
76;DE22222 DESIGUAL;0;15981558
85;E10022 ESCADA P&G;0;16222630
88;E33962 HUGO BOSS PARFUME;0;15644008
94;EN12355 ENNS;45120906;16222258
95;EN44567 ELECTRONIC NOVELTIES;44153565;16171437
96;ES12345 ELIE SAAB;0;16223564
100;F00009 M.FREY WILLE DP;0;14108649
103;F3333300 FOLLI FOLLIE WATCHES;0;11307070
105;F55556 FOSSIL;0;15115888
106;F87654 FERAUD - едхмюъ ебпною;0;14425730
113;G10036 GODIVA;0;15981116
117;G11333 GUESS - IBB;0;10902937
121;GI20000 GIVENCHY PARFUME DP;0;15834392
123;H10053 HERMES;0;16223502
130;I75666 KORLOFF INTERLUX;44185424;16152906
131;I98765 SILLAGE INTERLUX;42520715;15948027
136;J00001 JANEKE;0;13672184
137;J20060 JULES DESTROOPER;10907208;15971592
139;J99998 KRAFT JAKOBS SUCHARD;0;15861659
140;J99999 JSL TRADING AG;0;15601393
141;JR12345 JOHN RICHMOND;0;14030217
149;K127566 нюн йг нрпюдмне;0;15892709
151;K22233 OOO йпсрнм;0;16223484
152;K28000 KENZO PARF DP;0;15768570
155;K555544 KEEL TOYS;0;15481433
160;KM12389 KEIKO MICHERY (кюйьепх);45125409;16223662
162;KO15151 йнмхй ннн;0;14080114
166;L10006 LONGCHAMP;10907509;16222232
169;L10019 MARC JACOBS COTY;19259440;16223588
171;L11110 LUXOTTICA EURO UK (FORM B&L);0;10902957
173;L12222 LINDT;10907318;15828970
176;L15808 LANCEL;10907409;16140707
180;L44444_OOO кта;0;15922954
182;L98888 LEGO;0;15087679
189;M00008 MARKET CONNECTIONS;0;11380711
195;M04660 ннн лхпюмх;0;16223637
197;M10049 люпя цнккюмдхъ;0;15900160
199;M11000 ьюпл OOO;0;10912570
202;M12346 ярюпши люяреп мб ннн;0;10969454
206;M23222 MORGAN & OATES;0;15981670
207;M54321 MARCOLIN GROUP;0;11103527
213;MA8888 лхмхсл юпр йнкк;45125188;16223577
214;MJ33330 MARC JACOBS - едхмюъ ебпною;0;14008126
228;OE5555 гюн нпхемрюк щйяопеяя;0;16222989
233;P000005 ннн опнбюмя;45124728;16223407
234;P01997 LA PRAIRIE;10907524;16223685
235;P05321 PACO RABANNE PUIG;10907525;16157273
237;P10000 PRADA PUIG;10907328;16157277
239;P10099 HELENA RUBENSTEIN PBI;0;15981229
240;P12333 PORTOLANO;0;11713782
244;P75000 LANCOME PBI;0;15192910
245;P78000 CACHAREL PBI;0;14877524
249;PM12399 PARRIS MONTE CARLO (кюйьепх);0;16223663
250;PM44450 PERRIS MONTE CARLO INTERLUX 2;45125275;16223623
253;PW55555 POLICE TIME WATCH;0;15059512
259;R12345 RATTI COLLECTION;0;10910007
263;R888888 псяр хмйнпонпщиред;45120595;11390230
268;S01607 SHISEIDO;0;16223584
271;S10000 SONYA RYKIEL;10907470;16223229
273;S10444 SWAROVSKI DP JEW;0;10903005
274;S10445 SWAROWSKI DP FIGURINS;0;13976024
276;S10500 ннн яюйя хцпсьйх;45123641;16222994
279;S14444 SAMSONITE;0;14046274
282;S54321 SISLEY;0;15968003
283;S60006 SELDICO FENDI;0;15116112
284;S65432 STORK TRAVEL RETAIL;0;13473946
285;S67891 SHAIKH ESTERK;45124013;16222987
292;SG55510 SILLAGE INTERLUX 2;45125273;16223621
294;SL55530 SOUNDLINE;0;14114614
296;SP88820 ярнкхвмше онярюбйх ннн;45124442;16223343
311;SZ4444 якюбю гюижеб кюйьепх;0;16223504
317;T10045 TRAVEL RETAIL INNOVATIONS;10907232;15876813
322;T55567 TIMELESS LUXERY PRODUCTS;26048125;16064637
324;T77715 рлут цпсоо;0;15082379
325;T98765 йпелкебяйхи рд;0;16222223
328;U00002 чмхрния-л OOO;0;11116675
329;U00388 ннн тхплю смхрпнм;45123208;16223410
339;V50170 ннн бюкемяхъ щйяопеяя;0;16223643
341;VE2333 VERSUS;42578065;16143158
343;W00111 WHITE HALL;0;10903026
346;Y10010 CALVIN KLEIN;0;16223579
347;Y12300 YSL BEAUTY;0;11728831
348;Y12345 ъмрюпмюъ цпнгдэ ннн;0;11446617
350;ющпнлюп;0;10971588
354;гюн ющпнтепяр;36919163;15598539
360;я00395 ннн я-рпеид;45124258;16223236
361;я12345 ннн тхплю ярюмаеб;0;15922984
367;PR 123366 PREMIER PORTFOLIO;0;12489786
368;AM10001 A.MARTINI пхьщя;0;15233565
369;AE3333 AEGNA;0;16222218
370;AP 12345 AGENT PROVOCATEUR-едхмюъ ебпною;0;15640999
371;AN2014 ARIAL(NOVOSIBIRSK);0;16223067
372;P80000 ARMANI;0;14877523
373;AAT00001 ART ALIANCE TRADING;0;16222230
374;B23456 BALDESSARINI -едхмюъ ебпною;0;14030123
375;B99999 BIOTHERM SKY;0;13672106
376;B56789 BOBBY BROWN;0;15980829
377;B00002 BONA CONFECTIONARY ZAO;0;10902898
378;B34567 BOSS - едхмюъ ебпною;0;14008004
379;B87452 BRIC'S;0;16150193
380;BR00005 BROSWAY;0;15979121
381;B13578 BVLGARY - едхмюъ ебпною;0;14008192
382;CH12345 C.HERRERA - едхмюъ ебпною;0;14008006
383;C34678 CALVIN KLEIN - едхмюъ ебпною;0;14008005
384;CA16543 CARNER OF BARCELONA оюптчл оюкюя;0;16222308
385;CE32100 CERRUTI - едхмюъ ебпною;0;15012418
386;C54320 CHLOE - едхмюъ ебпною;0;14008007
387;CO2222 CODELLO;0;16145612
388;я33311 COFFEE BREND DISTRIBUTION;0;13527375
389;CC87654 COMME DES GARCONS едхмюъ ебпною;0;15582048
390;C23456 COTY;0;15091267
391;C32165 CURAPROX;0;14888364
392;D35678 D&G - едхмюъ ебпною;0;14008010
393;E16100 DELSEY ELIT BAGS;0;16064646
394;DG23456 DOLCE&GABBANA - едхмюъ ебпною;0;14008124
395;E34567 ESCADA - едхмюъ ебпною;0;14030159
396;E11115 EUROITALIA DP;0;13085509
397;F15666 FERRAGAMO - едхмюъ Eбпною;0;14008193
398;F55555 FRUITBERRY - едхмюъ ебпною;0;15263234
399;E17100 GIORGIO FEDON & FIGLI SPA;0;16222237
400;E55552 GIULIETTA CAPULETI EXILITY;0;16223569
401;G20304 GUCCI - едхмюъ ебпною;0;14008125
402;HD98765 HANSE DISTRIBUTION GMBH;0;15481552
403;AHK111 HELLO KITTY ARIAL;0;16223048
404;HK11111 HELLO KITTY пхьея;0;15357863
405;I44444 ICE WATCH;0;15103684
406;I13567 ICEBERG - едхмюъ ебпною;0;14875506
407;I33333 INTEL MSK;0;16223195
408;JL22222 JACQUES LEMANS;0;15098136
409;JB00700 JAMES BOND едхмюъ ебпною;0;15582039
