supplier_id;name;swsdfid;swsdfusdid;swsdpid;navid;swsdfid_ari;swsdpid_ari
0;NA;0;0;0;(null);(null);(null)
1;йнмяхцмюжхъ;27089534;27089534;14120281;0;(null);(null)
2;E12345 ES.MOLECULES щярепй оюптчл;0;0;14122386;(null);(null);(null)
3;---;28551042;28551042;14323943;0;(null);(null)
4;A0000006 юпуюмц OOO;0;0;11271174;0;(null);(null)
5;A00004 ICS;0;0;10902882;0;(null);(null)
6;A00005 ALFA PLUS;0;0;10902883;0;(null);(null)
7;A00006 ART-BOOKS OOO;0;0;10902884;0;(null);(null)
8;A00007 юкет рпеид ннн;0;0;11372511;0;(null);(null)
9;A00012 юбюкнм рпеид;0;0;11690046;0;(null);(null)
10;A00111 APC-FOUDS OOO;0;0;10902886;0;(null);(null)
11;A01000 ALESER 000;0;0;10902887;0;(null);(null)
12;A014660 ASGHARALI ESTERK;45124181;45124181;16223207;0;(null);(null)
13;A10015 CAROLINA HERRERA PUIG;10907434;10907434;16157276;0;(null);(null)
14;A11100 ART-ALYANCE ECO RBL;0;0;10902892;0;(null);(null)
15;A11114 AVALANCHE;0;0;15205851;0;(null);(null)
16;A11117 AVIATOR;0;0;15205854;0;(null);(null)
17;A12000 юлюдеся;0;0;11450423;0;(null);(null)
18;A14520 юкйн-лхп;0;0;11274573;0;(null);(null)
19;A32111 AVANTA ELECTRONICS;28593085;28593085;15980835;O_SUP207;(null);(null)
20;A33000 ARDEN LAGERFELD;0;0;11728840;0;(null);(null)
21;A33315+ AEROBRIDGE OOO;24612378;24612378;15872568;0;(null);(null)
22;A45698 ART ALLIANCE LTD;0;0;15963727;0;(null);(null)
23;A65432 AVTOGRAF;45121100;45121100;16222300;0;(null);(null)
24;A72508 юъйя-опеяя ннн;44809367;44809367;16192379;I_SUP010;(null);(null)
25;A88881 юпхюл;0;0;16223492;0;(null);(null)
27;AD00000 AF_DM;0;0;15929513;0;(null);(null)
28;AEROFIRST_RBN;0;0;10902895;0;(null);(null)
31;ARIAL;0;0;16135458;0;(null);(null)
32;ART BAZAR GR;0;0;15407859;0;(null);(null)
34;B000005 хрюкйнл;0;0;10902896;0;(null);(null)
35;B00001 VASKO RBL;0;0;10902897;0;(null);(null)
36;B00003 BEVERIDGIS AND TRAIDING;0;0;10902899;0;(null);(null)
37;B00004 BAZA-4 ZAO;0;0;10902900;0;(null);(null)
38;B00005 BELLIGEN TD;0;0;10902901;0;(null);(null)
39;B0005 бпелемю цндю рд;0;0;11168902;0;(null);(null)
40;B10000 TP BIRNS;0;0;10902903;0;(null);(null)
41;B10001 BORALEX;0;0;10902904;0;(null);(null)
42;B10027 ISSEY MIYAKI BPI;10907387;10907387;16222992;0;(null);(null)
43;B10029 NARCISO RODRIGUES BPI;10908145;10908145;16222990;0;(null);(null)
49;B54321 BYREDO ESTERK;45123746;45123746;16222849;0;(null);(null)
50;BB55515 BETTY BARCLAY - едхмюъ ебпною;0;0;15054381;0;(null);(null)
51;BPI;12143104;12143104;16223507;0;(null);(null)
52;BR75321 BURBERRY BPI;43255913;43255913;16223562;0;(null);(null)
53;BV10020 BOTTEGA VENETA;0;0;16223608;0;(null);(null)
54;C00001 COCA-COLA USD;0;0;10902906;0;(null);(null)
55;C00010 KC FUDS;0;0;10902907;0;(null);(null)
56;C00012 кхмхъ вхмйсе OOO;0;0;10968807;0;(null);(null)
57;C10000 CASIO 000;0;0;10902908;0;(null);(null)
58;C15000 CHASPROMTORG ZAO;0;0;10902912;0;(null);(null)
59;C27565 CHANEL PARFUMS;10907446;10907446;15913684;0;(null);(null)
62;CA12345 C.AGUILERA - едхмюъ ебпною;0;0;14008009;0;(null);(null)
63;CC00001 CLIVE CHRISTIAN ESTERK;45124180;45124180;16223206;0;(null);(null)
65;CK11111 CK WATCHES;0;0;13934647;0;(null);(null)
66;COTY;0;0;16223578;0;(null);(null)
67;D00001 DENVIEW U.E.;0;0;10902913;0;(null);(null)
68;D00002 DMITROV-ALKO OOO;0;0;10902914;0;(null);(null)
69;D10000 дхкюм+ OOO;0;0;11003144;0;(null);(null)
70;D10001 DENVIEW RBL;0;0;10902916;0;(null);(null)
71;D10005 йщмдхкюим ннн;0;0;13530515;I_SUP148;(null);(null)
72;D20030 DOLCE & GABBANA P&G;10922384;10922384;16222253;0;(null);(null)
73;D50005 DEMOS-APS AOOT;0;0;10902918;0;(null);(null)
74;D5005005 до-рпеид ннн;0;0;11715231;0;(null);(null)
75;D67890 DAVIDOFF - едхмюъ ебпною;0;0;14008011;0;(null);(null)
76;DE22222 DESIGUAL;45124149;45124149;15981558;0;(null);(null)
77;DG10067 D&G WATCHES;0;0;11310611;0;(null);(null)
78;DR5432 DE RIGO;10907358;10907358;16222279;0;(null);(null)
80;E00001 APOLLO ELECTRONICS;0;0;10902919;0;(null);(null)
81;E00003 INTERPRODUCT ZAO;0;0;10902921;0;(null);(null)
82;E00004 ебпюяепбхя ннн;0;0;11163369;0;(null);(null)
83;E00005 ELECTROCOMPROECT;0;0;10902922;0;(null);(null)
84;E0002 UVELCOM OOO;0;0;10902924;0;(null);(null)
85;E10022 ESCADA P&G;10907556;10907556;16222630;0;(null);(null)
86;E11000 EVRAZIYA OOO;0;0;10902925;0;(null);(null)
88;E33962 HUGO BOSS PARFUME;0;0;15644008;0;(null);(null)
89;E33965 LACOSTE P&G;10907255;10907255;16222631;0;(null);(null)
91;E55555 ESSE DP EURO;0;0;10924931;0;(null);(null)
92;E77712 ESTER BIJOUX;0;0;15981401;0;(null);(null)
93;ELIT BAGS GROUP;0;0;16222206;0;(null);(null)
94;EN12355 ENNS;45120906;45120906;16222258;0;(null);(null)
95;EN44567 ELECTRONIC NOVELTIES;44153565;44153565;16171437;0;(null);(null)
96;ES12345 ELIE SAAB;0;0;16223564;0;(null);(null)
97;ESTEE LAUDER GROUP;12580967;12580967;16223506;O_SUP113;(null);(null)
98;ESTERK PARFUME;0;0;16222986;0;(null);(null)
99;EXILITY;44514878;44514878;16165066;0;(null);(null)
101;F11111 FANAGORIA TRADE HOUSE OOO;0;0;10902929;0;(null);(null)
102;F11116 FABER CASTELL;0;0;15205853;0;(null);(null)
103;F3333300 FOLLI FOLLIE WATCHES;0;0;11307070;0;(null);(null)
104;F55545 FURLA;0;0;12309424;0;(null);(null)
105;F55556 FOSSIL;0;0;15115888;0;(null);(null)
106;F87654 FERAUD - едхмюъ ебпною;0;0;14425730;0;(null);(null)
107;FER123 FERRERO;0;0;16222285;0;(null);(null)
109;G00001 MASTER DISTRIBUTERS;0;0;10902930;0;(null);(null)
110;G00002 GOLD GRAIL;0;0;10902931;0;(null);(null)
111;G0001 GROSS OOO;0;0;10902932;0;(null);(null)
112;G10000 GELEO OOO;0;0;10902933;0;(null);(null)
114;G11110 MASTER DISTRIBUTERS RBL;0;0;10902934;0;(null);(null)
115;G11111 GIVENCHY COUTURE RBN;0;0;10902935;0;(null);(null)
116;G11112 GIVENCHY COUTURE EURO;0;0;10902936;0;(null);(null)
119;G33322 GENERLUX TRADING S.A. DP;0;0;10902938;0;(null);(null)
122;GS12334 GWEN STEFANI - едхмюъ ебпною;0;0;14165253;0;(null);(null)
123;H10053 HERMES;0;0;16223502;0;(null);(null)
125;I00001 AGROS-EKO;0;0;10902939;0;(null);(null)
126;I00003 COSMOPOLITAN COSMETICS;0;0;10902941;0;(null);(null)
127;I22222 ISA SPA DP RBN;0;0;10915168;0;(null);(null)
130;I75666 KORLOFF INTERLUX;44185424;44185424;16152906;0;(null);(null)
131;I98765 SILLAGE INTERLUX;42520715;42520715;15948027;0;(null);(null)
133;IMPORT;0;0;16222663;0;(null);(null)
134;INTERLUX;44185423;44185423;16152905;0;(null);(null)
135;INTERLUX 2;45125269;45125269;16223617;0;(null);(null)
136;J00001 JANEKE;0;0;13672184;0;(null);(null)
137;J20060 JULES DESTROOPER;10907208;10907208;15971592;0;(null);(null)
138;J22345 JUILETTE HAS A GUN ESTERK;27146387;27146387;16223208;0;(null);(null)
140;J99999 JSL TRADING AG;28840119;28840119;15601393;O_SUP010;(null);(null)
141;JR12345 JOHN RICHMOND;0;0;14030217;0;(null);(null)
143;K00001 йпюямши нйръапэ;0;0;10902944;0;(null);(null)
144;K00009 KENZO JEW DP EURO;0;0;10902946;0;(null);(null)
145;K0001 KENZO SILVER;0;0;11852187;0;(null);(null)
146;K01110 HERMITAGE SKY;0;0;10902947;0;(null);(null)
147;K10001 HERMITAGE EURO;0;0;10902949;0;(null);(null)
148;K11111 йюгслъм;0;0;10902951;0;(null);(null)
149;K127566 нюн йг нрпюдмне;0;0;15892709;I_SUP084;(null);(null)
150;K15973 KEIKO MECHERI INTERLUX;45125117;45125117;16223539;0;(null);(null)
153;K44455 KOLBER WATCHES;0;0;10902952;0;(null);(null)
154;K55545 KILIAN ESTERK;45123748;45123748;16222847;0;(null);(null)
155;K555544 KEEL TOYS;0;0;15481433;0;(null);(null)
156;K55555 йнпнмю ннн;0;0;13477160;0;(null);(null)
157;K56999 йюяйюд OOO;0;0;11039767;0;(null);(null)
158;K66666 KONFAEL.JCS;0;0;0;0;(null);(null)
159;K99999 KENZO JEW DP RBL;0;0;10902953;0;(null);(null)
160;KM12389 KEIKO MICHERY (кюйьепх);45125409;45125409;16223662;0;(null);(null)
161;KM22230 KEIKO MECHERI INTERLUX 2;45125274;45125274;16223622;0;(null);(null)
162;KO15151 йнмхй ннн;0;0;14080114;0;(null);(null)
163;KONIC GR;0;0;15357422;0;(null);(null)
164;KZ55555 ERCI;0;0;15981417;0;(null);(null)
165;L'OREAL LUX GROUP;0;0;14877652;0;(null);(null)
166;L10006 LONGCHAMP;10907509;10907509;16222232;0;(null);(null)
169;L10019 MARC JACOBS COTY;19259440;19259440;16223588;0;(null);(null)
170;L11000 келю-йнп OOO;0;0;11075402;0;(null);(null)
172;L11111 LONGCHAMP;0;0;10902958;0;(null);(null)
173;L12222 LINDT;10907318;10907318;15828970;0;(null);(null)
176;L15808 LANCEL;10907409;10907409;16140707;0;(null);(null)
177;L25116 LANVIN COUTURE RBN;0;0;11689272;0;(null);(null)
180;L44444 OOO кта;0;0;15922954;0;(null);(null)
185;M00000 MAJORICA EURO;0;0;10913918;0;(null);(null)
186;M00001 MASTER DISTRIBUTION;0;0;10902960;0;(null);(null)
187;M00002 лдй;0;0;10902961;0;(null);(null)
188;M00003 METRO & KERRI;0;0;10902962;0;(null);(null)
189;M00008 MARKET CONNECTIONS;0;0;11380711;0;(null);(null)
190;M00010 MARTHEL ZAO;0;0;10902963;0;(null);(null)
191;M00011 CROCUS;0;0;10902964;0;(null);(null)
192;M0101010 лерпн йеь щмд йеппх;0;0;11410701;0;(null);(null)
