Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
                  	                         		1	45122286	                         
B01491            	12 parfumers             	12 PARFUMERS	1	45125472	12 PARFUMERS             
1TOY              	1toy                     	1 TOY	0,8	45122145	1 TOY                    
4D PAZZLES        	4D PAZZLE                	AZZARO	0,4	45124033	AZZARO                   
5TH SEASON        	5th Season               	OVERSEAS	0,4	45124291	OVERSEAS                 
A.V. JEWELRY OF NY	A.V. JEWELRY OF NY       	A.V. JEWELRY OF NY	1	45123613	A.V. JEWELRY OF NY       
A_SOLAR           	A_Solar                  	POLAR	0,6	45122643	POLAR                    
B00821            	ABBYY                    	IBB	0,3	45123616	IBB                      
B01508            	ABERFELDY                	ABERFELDY	1	45125963	ABERFELDY                
ABERLOUR          	Aberlour                 	ABERLOUR	1	45122146	ABERLOUR                 
B00822            	ABLE STAR                	ABLE STAR	1	45122877	ABLE STAR                
ABSOLUT           	Absolut                  	ABSOLUT	1	45122147	ABSOLUT                  
B00823            	ACTIVE CRYSTALS          	ALCOM ACTIVE	0,6	45122845	ALCOM ACTIVE             
ADIDAS            	ADIDAS                   	ADIDAS	1	45122355	ADIDAS                   
B00825            	AEON                     	LEONARD	0,4	45122678	LEONARD                  
AFISHA            	Afisha                   	CHABLIS	0,4	45122666	CHABLIS                  
AFTER_8           	After Eight              	AFTER_8	0,6	45122284	AFTER_8                  
B00826            	AGATA                    	AGATHA	0,7	45122518	AGATHA                   
B00827            	AGATHA                   	AGATHA	1	45122518	AGATHA                   
DE_LA_PRADA       	Agatha Ruiz De La Prada  	AGATHA RUIZ DE LA PRADA	1	45122412	AGATHA RUIZ DE LA PRADA  
B01426            	AGENT PROVOCATEUR        	AGENT PROVOCATEUR	1		AGENT PROVOCATEUR        
AGENT18           	Agent18                  	AGENT18	1	45125523	AGENT18                  
B01483            	Agonist                  	AGONIST	1	45125191	AGONIST                  
AIR HOGS          	Air Hogs                 	AIR HOGS	1	45122810	AIR HOGS                 
B01473            	AJ Arabia                	AJ ARABIA	1	45124636	AJ ARABIA                
B01467            	AJMAL                    	AJMAL	1	45124189	AJMAL                    
