supplier_id;name;swsdfid;swsdpid;swsdfusdid
0;NA;0;0;0
1; ŒÕ—»√Õ¿÷»ﬂ;0;14120281;0
2;E12345 ES.MOLECULES ›—“≈–  œ¿–‘ﬁÃ;0;14122386;0
3;---;0;14323943;0
4;A0000006 ¿–’¿Õ√ OOO;0;11271174;0
5;A00004 ICS;0;10902882;0
6;A00005 ALFA PLUS;0;10902883;0
7;A00006 ART-BOOKS OOO;0;10902884;0
8;A00007 ¿À≈‘ “–≈…ƒ ŒŒŒ;0;11372511;0
9;A00012 ¿¬¿ÀŒÕ “–≈…ƒ;0;11690046;0
10;A00111 APC-FOUDS OOO;0;10902886;0
11;A01000 ALESER 000;0;10902887;0
12;A014660 ASGHARALI ESTERK;0;16223207;0
13;A10015 CAROLINA HERRERA PUIG;10907434;16157276;10907434
14;A11100 ART-ALYANCE ECO RBL;0;10902892;0
15;A11114 AVALANCHE;0;15205851;0
16;A11117 AVIATOR;0;15205854;0
17;A12000 ¿Ã¿ƒ≈”—;0;11450423;0
18;A14520 ¿À Œ-Ã»–;0;11274573;0
19;A32111 AVANTA ELECTRONICS;28593085;15980835;28593085
20;A33000 ARDEN LAGERFELD;0;11728840;0
21;A33315+ AEROBRIDGE OOO;24612378;15872568;24612378
22;A45698 ART ALLIANCE LTD;0;15963727;0
23;A65432 AVTOGRAF;45121100;16222300;45121100
24;A72508 ¿ﬂ —-œ–≈—— ŒŒŒ;44809367;16192379;44809367
25;A88881 ¿–»¿Ã;0;16223492;0
26;AB2222+ AEROBRIDGE UNION;0;15861076;0
27;AD00000 AF_DM;0;15929513;0
28;AEROFIRST_RBN;0;10902895;0
29;AG55511 AGATHA;0;15061294;0
30;AJ5545 ALEXANDRE J MINIUM;0;16222783;0
31;ARIAL;0;16135458;0
32;ART BAZAR GR;0;15407859;0
33;B0000003 ¡ŒÕ¿ ŒŒŒ;0;12499656;0
34;B000005 »“¿À ŒÃ;0;10902896;0
35;B00001 VASKO RBL;0;10902897;0
36;B00003 BEVERIDGIS AND TRAIDING;0;10902899;0
37;B00004 BAZA-4 ZAO;0;10902900;0
38;B00005 BELLIGEN TD;0;10902901;0
39;B0005 ¬–≈Ã≈Õ¿ √Œƒ¿ “ƒ;0;11168902;0
40;B10000 TP BIRNS;0;10902903;0
41;B10001 BORALEX;0;10902904;0
42;B10027 ISSEY MIYAKI BPI;10907387;16222992;10907387
43;B10029 NARCISO RODRIGUES BPI;10908145;16222990;10908145
44;B21456 CARON ¡»¡» ŒÃ (»À‹»Õ¿);0;15962875;0
45;B21457 MEMO ¡»¡» ŒÃ (»À‹»Õ¿);0;16164156;0
46;B21458 PRUDENCE ¡»¡» ŒÃ (»À‹»Õ¿);0;16164157;0
47;B21459 HOUBIGANT ¡»¡» ŒÃ (»À‹»Õ¿);0;16164158;0
48;B21460 HISTORES DE PARFUMS ¡»¡» ŒÃ (»À‹»Õ¿);0;16164160;0
49;B54321 BYREDO ESTERK;45123746;16222849;45123746
50;BB55515 BETTY BARCLAY - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿;0;15054381;0
51;BPI;0;16223507;0
52;BR75321 BURBERRY BPI;43255913;16223562;43255913
53;BV10020 BOTTEGA VENETA;0;16223608;0
54;C00001 COCA-COLA USD;0;10902906;0
55;C00010 KC FUDS;0;10902907;0
56;C00012 À»Õ»ﬂ ◊»Õ ”≈ OOO;0;10968807;0
57;C10000 CASIO 000;0;10902908;0
58;C15000 CHASPROMTORG ZAO;0;10902912;0
59;C27565 CHANEL PARFUMS;10907446;15913684;10907446
60;C31803 CHRISTIAN DIOR;0;15316079;0
61;C33331 CLARINS;0;15418168;0
62;CA12345 C.AGUILERA - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿;0;14008009;0
63;CC00001 CLIVE CHRISTIAN ESTERK;0;16223206;0
64;CH34567 CHURCHILLS;0;14832869;0
65;CK11111 CK WATCHES;0;13934647;0
66;COTY;0;16223578;0
67;D00001 DENVIEW U.E.;0;10902913;0
68;D00002 DMITROV-ALKO OOO;0;10902914;0
69;D10000 ƒ»À¿Õ+ OOO;0;11003144;0
70;D10001 DENVIEW RBL;0;10902916;0
71;D10005  ›Õƒ»À¿…Õ ŒŒŒ;0;13530515;0
72;D20030 DOLCE & GABBANA P&G;0;16222253;0
73;D50005 DEMOS-APS AOOT;0;10902918;0
74;D5005005 ƒœ-“–≈…ƒ ŒŒŒ;0;11715231;0
75;D67890 DAVIDOFF - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿;0;14008011;0
76;DE22222 DESIGUAL;0;15981558;0
77;DG10067 D&G WATCHES;0;11310611;0
78;DR5432 DE RIGO;0;16222279;0
79;DZ55555 ƒ–≈¬Œ ∆»«Õ» ŒŒŒ;0;15962795;0
80;E00001 APOLLO ELECTRONICS;0;10902919;0
81;E00003 INTERPRODUCT ZAO;0;10902921;0
82;E00004 ≈¬–¿—≈–¬»— ŒŒŒ;0;11163369;0
